model,condition,seed,unit,signal,turn,cusum,ph
llama-3.3-70b,switch,18,A1,H,12,0.31356992180431165,0.3135699218043113
llama-3.3-70b,switch,18,A1,H,13,0.6116588786707715,0.6116588786707715
llama-3.3-70b,switch,18,A1,H,14,0.15584508460759372,0.15584508460759405
llama-3.3-70b,switch,18,A1,H,15,1.157818421935881,1.157818421935881
llama-3.3-70b,switch,18,A1,H,16,2.130290366439561,2.130290366439561
llama-3.3-70b,switch,18,A2,H,8,1.263581045502406,1.263581045502406
llama-3.3-70b,switch,18,A2,H,9,0.23087304074855497,0.23087304074855486
llama-3.3-70b,switch,18,A2,H,11,0.06606034843546382,0.06606034843546382
llama-3.3-70b,switch,18,A2,H,12,0.37888940782236136,0.37888940782236136
llama-3.3-70b,switch,18,A2,H,13,0.03220006666856634,0.03220006666856623
llama-3.3-70b,switch,18,A2,H,14,0.39360534765740174,0.39360534765740174
llama-3.3-70b,switch,18,A2,H,16,0.03481089146453231,0.034810891464532645
llama-3.3-70b,switch,18,A2,H,17,0.0,0.0
llama-3.3-70b,switch,18,A2,H,18,0.03372636382603966,0.03372636382603922
llama-3.3-70b,switch,18,A2,H,19,0.11968874506222771,0.11968874506222749
llama-3.3-70b,switch,18,A2,H,20,0.03345119560837706,0.03345119560837695
llama-3.3-70b,switch,18,A2,H,21,0.046581546135635366,0.04658154613563514
llama-3.3-70b,switch,19,A1,H,8,1.2265726590414499,1.2265726590414499
llama-3.3-70b,switch,19,A1,H,9,0.15483520540408635,0.15483520540408646
llama-3.3-70b,switch,19,A1,H,10,0.9336647021064444,0.9336647021064441
llama-3.3-70b,switch,19,A1,H,11,0.15533901420646978,0.1553390142064699
llama-3.3-70b,switch,19,A1,H,12,1.5894486244633077,1.5894486244633077
llama-3.3-70b,switch,19,A1,H,13,0.4327751342918179,0.432775134291818
llama-3.3-70b,switch,19,A1,H,14,2.5652200917292536,2.5652200917292536
llama-3.3-70b,switch,19,A1,H,15,1.40869347808076,1.4086934780807598
llama-3.3-70b,switch,19,A1,H,16,1.5910906295650902,1.59109062956509
llama-3.3-70b,switch,19,A1,H,18,0.4338460639176104,0.43384606391761005
llama-3.3-70b,switch,19,A1,H,19,0.2199382982763134,0.21993829827631295
llama-3.3-70b,switch,19,A2,H,8,0.35100984537776114,0.35100984537776114
llama-3.3-70b,switch,19,A2,H,9,0.2862962396061841,0.2862962396061841
llama-3.3-70b,switch,19,A2,H,10,0.4883966763508554,0.4883966763508554
llama-3.3-70b,switch,19,A2,H,11,0.2853964439777642,0.2853964439777643
llama-3.3-70b,switch,19,A2,H,13,0.5721123612124572,0.5721123612124575
llama-3.3-70b,switch,19,A2,H,14,0.3976623814099294,0.3976623814099294
llama-3.3-70b,switch,19,A2,H,15,0.28689381159863925,0.286893811598639
llama-3.3-70b,switch,19,A2,H,16,0.26399038267523134,0.2639903826752312
llama-3.3-70b,switch,19,A2,H,17,0.28587669920426095,0.28587669920426073
llama-3.3-70b,switch,19,A2,H,18,0.47982597074913413,0.4798259707491339
llama-3.3-70b,switch,20,A1,H,8,2.0511726822738314,2.0511726822738314
llama-3.3-70b,switch,20,A1,H,9,0.9212143092954845,0.9212143092954845
llama-3.3-70b,switch,20,A1,H,10,2.297372123586234,2.297372123586234
llama-3.3-70b,switch,20,A1,H,11,1.166977182964808,1.166977182964808
llama-3.3-70b,switch,20,A1,H,12,2.409220076788575,2.409220076788575
llama-3.3-70b,switch,20,A1,H,13,1.2779372826455777,1.2779372826455777
llama-3.3-70b,switch,20,A1,H,14,0.9579079308027572,0.9579079308027572
llama-3.3-70b,switch,20,A2,H,8,1.0585903993724555,1.0585903993724555
llama-3.3-70b,switch,20,A2,H,9,0.09289401012261966,0.09289401012261966
llama-3.3-70b,switch,20,A2,H,10,0.5093786315582709,0.5093786315582708
llama-3.3-70b,switch,20,A2,H,11,0.0,0.0
llama-3.3-70b,switch,20,A2,H,12,0.5535528305184625,0.5535528305184625
llama-3.3-70b,switch,20,A2,H,13,0.0,0.0
llama-3.3-70b,switch,20,A2,H,14,0.0,0.0
qwen3-235b,base,1,A1,H,8,0.0,0.0
