model,align,role,rel,metric,n,mean,ci_low,ci_high,frac_read_log
llama-3.3-70b,tau_read,author,-4,y_adj,37,0.18218329941314026,0.1617439963782038,0.20957848513106866,0.8648648648648649
llama-3.3-70b,tau_read,author,-4,mean_surprisal_bits,37,0.0464472409106683,0.009293284320911775,0.09378020554187892,0.8648648648648649
llama-3.3-70b,tau_read,author,-3,y_raw,40,0.3289188248249714,0.2625634065452853,0.39441335501055436,0.15
llama-3.3-70b,tau_read,author,-3,y_adj,40,0.21883824616407863,0.17527652094337623,0.2665991261689213,0.15
llama-3.3-70b,tau_read,author,-3,mean_surprisal_bits,40,0.32268813488727555,0.23401154502904245,0.4280604039127747,0.15
llama-3.3-70b,tau_read,author,-2,y_raw,39,0.09130070006747025,0.040245464803868015,0.15237622300700787,0.7692307692307693
llama-3.3-70b,tau_read,author,-2,y_adj,39,0.18383647289716934,0.16253400531052214,0.21028865054770912,0.7692307692307693
llama-3.3-70b,tau_read,author,-2,mean_surprisal_bits,39,0.10600971784752931,0.04220229856762212,0.1885045106925224,0.7692307692307693
llama-3.3-70b,tau_read,author,-1,y_raw,40,0.31348704515386105,0.2440191555946469,0.39066886015693686,0.225
llama-3.3-70b,tau_read,author,-1,y_adj,40,0.2210101063983924,0.18162444864716235,0.2670271178093526,0.225
llama-3.3-70b,tau_read,author,-1,mean_surprisal_bits,40,0.32164961905858425,0.23957440843106267,0.40931297627496277,0.225
llama-3.3-70b,tau_read,author,0,y_raw,40,0.10422876008461841,0.04755674763973562,0.16565125005842615,0.75
llama-3.3-70b,tau_read,author,0,y_adj,40,0.18643377951457485,0.16690184393912597,0.2082411889334158,0.75
llama-3.3-70b,tau_read,author,0,mean_surprisal_bits,40,0.1138664829007904,0.05153724473542355,0.1817384476945312,0.75
llama-3.3-70b,tau_read,author,1,y_raw,38,0.32067226863310916,0.2535166373751779,0.39158856127909497,0.2631578947368421
llama-3.3-70b,tau_read,author,1,y_adj,38,0.22434926354396292,0.18818359346138974,0.26619839545494345,0.2631578947368421
llama-3.3-70b,tau_read,author,1,mean_surprisal_bits,38,0.33663005592977197,0.25409579297864077,0.4256699690010782,0.2631578947368421
llama-3.3-70b,tau_read,author,2,y_raw,38,0.08957685030962476,0.040802367376994546,0.15023286769918315,0.7631578947368421
llama-3.3-70b,tau_read,author,2,y_adj,38,0.17981635586893516,0.15761405661055997,0.20540082511248972,0.7631578947368421
llama-3.3-70b,tau_read,author,2,mean_surprisal_bits,38,0.09543533263218704,0.04211548982985449,0.16019857119771116,0.7631578947368421
llama-3.3-70b,tau_read,author,3,y_raw,37,0.3187178762438619,0.2353790398158978,0.39151848428909786,0.24324324324324326
llama-3.3-70b,tau_read,author,3,y_adj,37,0.22982078675626177,0.18998046840626218,0.27242460091707943,0.24324324324324326
