model,condition,turn,runs_present,runs_paired,H1_bits,H2_bits,sum_H_bits,I_bits,H_system_bits,I_shuffled_bits,I_minus_shuffled_bits,hard_H1_bits,hard_H2_bits,hard_I_bits,hard_I_miller_madow_bits,hard_H_system_bits,p1_READ,p1_WRITE,p1_DECRYPT,p1_SUBMIT,p1_OTHER,p1_DONE,p2_READ,p2_WRITE,p2_DECRYPT,p2_SUBMIT,p2_OTHER,p2_DONE,tokH_A1_mean,tokS_A1_mean,tokH_A1_n,tokH_A2_mean,tokS_A2_mean,tokH_A2_n
gpt-4o-mini,switch,6,20,20,1.280256353245197,1.327126302576839,2.607382655822036,0.0850090903704972,2.522373565451539,0.00023479310391572028,0.08477429726658148,1.4060075793123286,1.4060075793123286,0.2510511111809759,0.17891635913652773,2.5609640474436812,0.0931980709442216,0.3027232126575423,0.6040771002587794,1.3305926551375403e-06,2.855468015455003e-07,0.0,0.1613106613130601,0.21555077068283746,0.6231322314477458,2.979665997408355e-06,3.3568903592164324e-06,0.0,0.540980646588476,0.748513389484205,20,0.31356537616597735,0.3126465514769791,20
gpt-4o-mini,switch,7,20,20,1.1041182102847487,1.386682567387565,2.4908007776723133,0.07953254035975998,2.4112682373125534,0.0002044618801049225,0.07932807847965506,0.8112781244591328,1.5128876215181604,0.36529389753193287,0.36529389753193287,1.9588718484453602,0.05053087266357672,0.2679165442268656,0.6815250135330919,2.6559298789640078e-05,1.0102776760216563e-06,0.0,0.12501405818834072,0.3392915252506675,0.5356853301022836,4.341859018221303e-06,4.744599689828875e-06,0.0,0.4109422285791193,0.3975401757979543,20,0.5880742702522104,0.6912397202520304,20
gpt-4o-mini,switch,8,20,20,1.2585796938646885,1.1411960494733346,2.399775743338023,0.014979939178019208,2.384795804160004,3.990216978300154e-05,0.014940037008236207,1.2344977967946407,0.9709505944546686,0.0394910703001341,0.0034236942779100193,2.165957320949175,0.05827876260647961,0.4359774825824848,0.5057430095339852,2.3319621636809377e-07,5.120808339961108e-07,0.0,0.03194165355543837,0.3812513056858182,0.586752083548702,5.3197543350446754e-05,1.7596666909845927e-06,0.0,0.45766137413578684,0.4309790883271202,20,0.18374544767981912,0.16493679455774585,20
gpt-4o-mini,switch,9,20,20,1.4392277597720433,1.3955863840648381,2.8348141438368817,0.06507123853191388,2.769742905304968,0.00021010098960472234,0.06486113754230916,1.4577174691301484,1.2192407046368487,0.211000852817822,0.13886610077337383,2.465957320949175,0.1299154334111547,0.40842667353089074,0.4601915740768557,0.0014657458798315792,5.731012670401014e-07,0.0,0.1321068985670292,0.5368620220054112,0.33102818607582873,1.120704209106673e-06,1.7726475217226581e-06,0.0,0.3841601769427289,0.4934932032103293,20,0.41359592017341534,0.4193256566629544,20
gpt-4o-mini,switch,10,20,20,1.365396978595136,1.297463673069497,2.662860651664633,0.2352755973326528,2.4275850543319804,0.0012425244018663406,0.23403307293078646,1.5954618442383217,1.1540157730728,0.2917601481809733,0.2556927721587492,2.4577174691301487,0.06960766535074588,0.1451931668336996,0.6895880631808067,0.09561028626491601,8.183698319296778e-07,0.0,0.06667146347251887,0.19450301186711033,0.6911883875444637,0.04763460935485582,2.527761051169088e-06,0.0,0.24111635920254196,0.4841746945782913,20,0.17039971520679995,0.22022660526219923,20
gpt-4o-mini,switch,11,19,19,1.5422716089993436,1.344021907280799,2.8862935162801424,0.06678474062071071,2.8195087756594317,0.00018592788289995,0.06659881273781076,1.2108100261060328,1.2448406699719212,0.2740981788891075,0.23613251991834527,2.1815525171888464,0.025469960854770355,0.5424329139236815,0.3425586623272705,0.03690584719701175,1.0367498975127323e-06,0.05263157894736842,0.0557368771620796,0.4933157819820386,0.43678879973343554,0.01415500459386027,3.536528585861006e-06,0.0,0.2891756827945535,0.29673676689918216,18,0.24623038955900312,0.3433811561744895,19
gpt-4o-mini,switch,12,19,19,1.4817574582279573,1.489454081496951,2.9712115397249086,0.17509239722883096,2.7961191424960776,0.0004857469346237764,0.1746066502942072,1.3727069617019705,1.6163485660751646,0.29427406719286253,0.2563084082221003,2.694781460584273,0.093943166714559,0.24833742459541414,0.605086970148256,2.7939083502519783e-07,5.802035674277815e-07,0.05263157894736842,0.05896999498518767,0.4180012399958595,0.4743774502903267,0.048648722528624046,2.592200002132302e-06,0.0,0.5237195659275243,0.48156592521934993,18,0.30229120490976896,0.4547029516124251,19
gpt-4o-mini,switch,13,19,19,1.6719818328120315,1.6654210240522234,3.337402856864255,0.16210206694293694,3.175300789921318,0.0004756572579496243,0.16162640968498732,1.6340649724200549,1.7187828921272557,0.2767446935505893,0.2008133756090649,3.0761031709967215,0.06960605350677057,0.27311315379641166,0.5598091422989242,0.044839313802124754,7.576484002783326e-07,0.05263157894736842,0.08757124498235837,0.27337345544613983,0.5563618574123046,0.030057888495566207,3.974716262449782e-06,0.05263157894736842,0.48396682834589794,0.543287642799732,18,0.24242910307965504,0.2920950105191938,18
gpt-4o-mini,switch,14,19,19,1.7698638472742712,1.7445037490109088,3.51436759628518,0.29611580998891807,3.218251786296262,0.000772742758512468,0.2953430672304056,1.6068322783181097,1.5779772001172403,0.5350150163917795,0.5350150163917795,2.6497944620435705,0.038627217655968514,0.351990274496137,0.45927934059858755,0.044839599323530585,4.1003103958249914e-07,0.10526315789473684,0.04294980475085844,0.35712635535227183,0.4617066607701596,0.03295154656102103,2.4746709521330234e-06,0.10526315789473684,0.37795716700863163,0.4594508870921994,17,0.1429572840319264,0.14861824152074096,17
gpt-4o-mini,switch,15,19,19,1.7820711075089837,1.6891392280642545,3.471210335573238,0.3808760016986601,3.090334333874578,0.00130931282354263,0.37956668887511746,1.8679653582397107,1.7002237262558646,0.5973490713935901,0.5214177534520656,2.970840013101985,0.06780218267977593,0.24842714137544447,0.5354769374202987,0.04303002470782945,5.559219145966499e-07,0.10526315789473684,0.04939465361592422,0.4298696583054175,0.36283884507310493,5.62721340954094e-07,1.5434421071354324e-06,0.15789473684210525,0.5193238777698768,0.6101384145107411,17,0.18465387485304016,0.15339788643932356,16
gpt-4o-mini,switch,16,18,18,1.6705159294972605,1.745824113619828,3.4163400431170885,0.1963171007685065,3.220022942348582,0.0011312872713253874,0.19518581349718112,1.3821022532543101,1.6805563732659934,0.30994334754059905,0.22979362304676776,2.7527152789797045,0.02881560246171956,0.4710433869250628,0.3651892432741388,0.02383849435763987,2.1618703277133034e-06,0.1111111111111111,0.07148236297602198,0.18493324841346107,0.5822120847382136,0.050259010346920256,2.182414271810174e-06,0.1111111111111111,0.27360893253373764,0.25959410171090574,16,0.3329669399963833,0.373361696206701,16
gpt-4o-mini,switch,17,18,18,1.6862159513044055,1.8529445865054348,3.53916053780984,0.17805334026689446,3.3611071975429456,0.0005573780284904295,0.17749596223840403,1.6577427265048887,1.8638263900908156,0.4082857823008297,0.2880611955600827,3.1132833342948745,0.16169075557248513,0.1724909801798991,0.5547062673152963,3.253272381118471e-07,5.604939701721698e-07,0.1111111111111111,0.11559202065745221,0.416650912201487,0.29946440391962037,0.001623150867682503,2.845687091265146e-06,0.16666666666666666,0.2757828377634434,0.22995733076020028,16,0.47001929684909605,0.5155175056249672,15
gpt-4o-mini,switch,18,18,18,1.8502169967719146,1.8784816578558576,3.728698654627772,0.24125151885530327,3.487447135772469,0.0006913893211160094,0.24056012953418726,1.5683182557028437,1.6758220575766962,0.15809170096650238,0.03786711422575542,3.0860486123130375,0.029113770536844927,0.4926741686957661,0.2632115012574823,0.10388754204305112,1.9063557444231896e-06,0.1111111111111111,0.05730347917893752,0.3143599273776902,0.42863317089591724,0.03303449838372183,2.2574970664661063e-06,0.16666666666666666,0.5257912886486327,0.5123188178374352,16,0.2600349514936144,0.269065442911419,15
gpt-4o-mini,switch,19,18,18,1.8119734944752777,1.7028652258936563,3.514838720368934,0.10283049401464295,3.412008226354291,0.0002588018993177066,0.10257169211532524,1.7924812503605778,1.4355205042826666,0.211126058876681,0.09090147213593405,3.0168756957665637,0.1822308486883968,0.16387312981303837,0.4871945036229763,3.3203388673211265e-05,1.6478202486176608e-06,0.16666666666666666,0.056709642706268805,0.2248121271224201,0.4962470692770659,5.4694569270523755e-06,3.469215095787086e-06,0.2222222222222222,0.22332774712203238,0.13817076526585026,15,0.339250340408241,0.3240588650842664,14
gpt-4o-mini,switch,20,18,18,2.0334958366630587,1.7309515771653163,3.7644474138283748,0.6634275963316489,3.101019817496726,0.0020013756220085277,0.6614262207096404,2.1769081691685783,1.747167197306934,0.7688538376160006,0.6887041131221693,3.155221528859512,0.05547316745809567,0.3614256311536952,0.32608290919697114,0.09034964248781564,1.983036755685975e-06,0.16666666666666666,0.041222701408160395,0.39302147072706756,0.3435321077034843,1.773614420570566e-07,1.3205776234365376e-06,0.2222222222222222,0.3846054274043304,0.6909886256935581,15,0.2843468246963468,0.3670918419723333,14
gpt-4o-mini,switch,21,10,10,1.662084320884652,1.6480195793221757,3.310103900206828,0.2576054071435667,3.0524984930632613,0.0028203580362133884,0.25478504910735333,1.360964047443681,1.1567796494470395,0.6713043522197051,0.7434391042641533,1.8464393446710154,0.12742316722890096,0.326422096338601,0.48391228221988564,0.062240915091292016,1.5391213203176186e-06,0.0,0.10793066906331183,0.24152205659433507,0.550544678219105,7.814931109405656e-07,1.8146301369728207e-06,0.1,0.5410885513260348,0.7138884089700526,10,0.1649996233125843,0.146756861224734,9
gpt-4o-mini,switch,22,10,10,0.7117807335523186,1.7517101803200246,2.4634909138723433,0.41029721441723366,2.0531936994551097,0.012489659138188447,0.3978075552790452,0.4689955935892812,1.7219280948873623,0.46899559358928133,0.5411303456337295,1.721928094887362,0.015143273296835865,0.043547809390776925,0.8763072570606927,0.06499551517898002,6.145072714612363e-06,0.0,0.1246265570477503,0.450919511580757,0.3244495409509911,1.7026437475937498e-06,2.6877767540464433e-06,0.1,0.530387115192896,0.6156332814124846,10,0.4729773578664351,0.4735877917670676,9
gpt-4o-mini,switch,23,9,9,1.2449961716312485,1.6063123300644166,2.851308501695665,0.15114715310350402,2.700161348592161,0.0023512050992891,0.14879594800421492,1.3516441151533924,1.5304930567574824,0.3788788371352294,0.2987291126413981,2.5032583347756456,0.08367595688034829,0.6219399163080455,0.2943825252285119,3.967679503110999e-07,1.2048151439892208e-06,0.0,0.17119853038360805,0.4493252301593728,0.35746143633765737,0.02200902806334853,5.7750560132485055e-06,0.0,0.28990175221132397,0.44254209395195165,9,0.34134975351857516,0.34872967509929037,9
gpt-4o-mini,switch,24,9,9,1.724608752284791,1.6537259924013437,3.3783347446861347,0.3668974656557129,3.011437279030422,0.0055335637311078045,0.3613639019246051,1.8365916681089791,1.6577427265048887,0.7688538376160001,0.7688538376160001,2.725480556997868,0.12080291320928309,0.3263090841878706,0.46204702154555366,0.090840534571191,4.4648610168636405e-07,0.0,0.2028565005175045,0.1867776401214141,0.5449381360457901,0.06542261340758218,5.109907708944002e-06,0.0,0.23920683773763418,0.230304384290929,9,0.15338076687142443,0.08347594002379424,9
gpt-4o-mini,switch,25,7,7,1.8656541557216,1.2332988271279792,3.098952982849579,0.24498519618348968,2.8539677866660895,0.005998701025774267,0.23898649515771542,1.950212064914747,0.863120568566631,0.5774062828523454,0.5774062828523454,2.2359263506290326,0.28072692839654884,0.32490599351518573,0.3103496383565867,0.08401131617928013,6.123552398584551e-06,0.0,0.04163720818162559,0.2711109060223992,0.6611892248739294,0.026058516545903382,4.144376142452573e-06,0.0,0.2529009403489672,0.2113337349942577,7,0.2907746785233097,0.3632279460303208,7
gpt-4o-mini,switch,26,6,6,1.7814418156661815,0.9886222684826855,2.770064084148867,0.21562208294365703,2.55444200120521,0.007176462975211795,0.20844561996844524,1.7924812503605778,0.9182958340544896,0.45914791702724456,0.45914791702724456,2.2516291673878226,0.22663871177668957,0.49189485713413794,0.1598728811115638,0.12158696847265354,6.581504955079379e-06,0.0,0.012024833230795668,0.6707479005070063,0.3172265667298452,1.0211293872203891e-07,5.974194140899751e-07,0.0,0.1667761511158222,0.13228259874294865,6,0.16190016778479416,0.09625214217788051,6
