model,condition,seed,turn,agent,pos,H_lower_bits,H_lower_re,H_renorm_bits,H_renorm_re,coverage,coverage_re,k
qwen3-235b,base,1,5,A2,77,0.0004431249111059,0.0004310862758645125,0.0004431249111059,0.00043097398140591944,1.0,0.9999999221401507,20
qwen3-235b,base,1,5,A2,78,0.0017917765657297,0.0004310862758645125,0.0017917765657297,0.00043097398140591944,1.0,0.9999999221401507,20
qwen3-235b,base,1,5,A2,81,1.885751842065488e-05,2.175491283449159e-06,1.885751842065488e-05,2.2906621514447516e-06,1.0,1.000000079830486,20
qwen3-235b,base,1,5,A2,82,3.8953147577936485e-06,2.175491283449159e-06,3.8953147577936485e-06,2.2906621514447516e-06,1.0,1.000000079830486,20
qwen3-235b,base,1,5,A2,83,2.0577283424595872e-05,2.175491283449159e-06,2.0577283424595872e-05,2.2906621514447516e-06,1.0,1.000000079830486,20
qwen3-235b,base,1,5,A2,86,5.862637068616982e-05,1.3595601750072817e-06,5.862637068616982e-05,1.435483323596006e-06,1.0,1.0000000526259674,20
qwen3-235b,base,1,5,A2,95,1.4053463623609428e-05,1.8428499340282143e-06,1.4053463623609428e-05,1.7713828144500496e-06,1.0,0.9999999504627055,20
qwen3-235b,base,1,5,A2,114,0.0001994320980376,1.4551188086013348e-07,0.0001994320980376,1.5235787552398603e-07,1.0,1.0000000047452824,20
qwen3-235b,base,1,5,A2,115,1.1774067199370553e-06,1.4551188086013348e-07,1.1774067199370553e-06,1.5235787552398603e-07,1.0,1.0000000047452824,20
qwen3-235b,base,1,5,A2,122,3.905400995110894e-05,3.389455806177097e-05,3.905400995110894e-05,3.393738161663832e-05,1.0,1.0000000296837241,20
qwen3-235b,base,1,5,A2,124,2.451025305340643e-05,1.4651296589892243e-06,2.451025305340643e-05,1.5427719145333864e-06,1.0,1.0000000538175666,20
qwen3-235b,base,1,5,A2,125,7.828445896736986e-06,1.4651296589892243e-06,7.828445896736986e-06,1.5427719145333864e-06,1.0,1.0000000538175666,20
qwen3-235b,base,1,5,A2,126,0.0020020951212333,1.4651296589892243e-06,0.0020020951212333,1.5427719145333864e-06,1.0,1.0000000538175666,20
qwen3-235b,base,1,20,A2,4,0.3920105469063593,0.004709254269567748,0.3920105469063593,0.0047077767597451395,1.0,0.999998972514833,20
qwen3-235b,base,1,20,A2,10,0.4243512227732219,8.933910355705306e-05,0.4243512227732219,8.875762594192201e-05,1.0,0.9999995969255513,20
qwen3-235b,base,1,20,A2,19,0.2762197786042628,0.27620516030054265,0.2762197786042628,0.2762052649301252,1.0,1.000000089696094,20
qwen3-235b,base,1,20,A2,24,0.0106812703614294,0.0002759863523754899,0.0106812703614294,0.00027557392564171533,1.0,0.9999997140729155,20
qwen3-235b,base,1,20,A2,29,0.0010420161323377,1.6031621206137948e-05,0.0010420161323377,1.6114046251792058e-05,1.0,1.0000000571333245,20
qwen3-235b,base,1,20,A2,53,0.301185392064936,0.27544837656674614,0.301185392064936,0.27544851593675185,1.0,1.0000001194006514,20
qwen3-235b,base,1,20,A2,54,0.3355371421938204,0.27544837656674614,0.3355371421938204,0.27544851593675185,1.0,1.0000001194006514,20
qwen3-235b,base,1,20,A2,56,0.0013870181219627,0.0011674464134751063,0.0013870181219627,0.0011673150150707942,1.0,0.9999999088478092,18
qwen3-235b,base,1,20,A2,60,1.4152403406290444e-05,5.209388552789987e-06,1.4152403406290444e-05,5.148055965905795e-06,1.0,0.9999999574873377,20
qwen3-235b,base,1,20,A2,65,0.0001226196450395,1.1642698044445849e-08,0.0001226196450395,1.2141138710967512e-08,1.0,1.0000000003454927,20
qwen3-235b,base,1,20,A2,70,3.618542005389224e-06,1.7890112525948703e-07,3.618542005389224e-06,1.8737735034941448e-07,1.0,1.0000000058752723,20
qwen3-235b,base,1,20,A2,75,2.6860654256073623e-06,2.783143000859713e-07,2.6860654256073623e-06,2.934461674973692e-07,1.0,1.0000000104886133,20
qwen3-235b,base,1,20,A2,84,0.0257149981682721,1.1069563440290841e-06,0.0257149981682721,1.1673663234584332e-06,1.0,1.00000004187304,20
qwen3-235b,base,1,20,A2,88,9.397309476210803e-05,9.173732556988287e-05,9.397309476210803e-05,9.17757715220465e-05,1.0,1.0000000266503983,20
qwen3-235b,base,1,20,A2,98,0.0006108161584724,0.0006092683170953791,0.0006108161584724,0.0006090740002696803,1.0,0.9999998652529438,20
qwen3-235b,base,1,20,A2,109,2.5213697538465e-06,1.1361862832510896e-07,2.5213697538465e-06,1.1916911368281115e-07,1.0,1.0000000038473036,20
qwen3-235b,base,1,20,A2,116,1.6693053756419744e-05,1.1026619214026693e-08,1.6693053756419744e-05,1.1499515437680975e-08,1.0,1.0000000003277867,20
qwen3-235b,base,1,20,A2,120,2.5460925833910865e-06,1.383414578696959e-07,2.5460925833910865e-06,1.4477023673993074e-07,1.0,1.0000000044560904,20
qwen3-235b,base,1,20,A2,128,7.682672113827701e-06,8.034152836559362e-07,7.682672113827701e-06,8.45774361271495e-07,1.0,1.000000029361092,20
qwen3-235b,base,1,20,A2,134,3.637364982011772e-05,8.667983893608952e-08,3.637364982011772e-05,9.067479119992502e-08,1.0,1.00000000276909,20
qwen3-235b,base,1,20,A2,142,0.0787197547016895,0.07120795193317712,0.0787197547016895,0.07120790105578535,1.0,0.9999999629034854,20
qwen3-235b,base,1,20,A2,146,6.145284050811778e-06,6.41870714099067e-07,6.145284050811778e-06,6.761797134217403e-07,1.0,1.000000023781197,20
qwen3-235b,base,1,20,A2,150,0.0001394704533284,1.2745139899771578e-08,0.0001394704533284,1.3297554778236006e-08,1.0,1.0000000003829048,20
qwen3-235b,base,1,20,A2,155,2.8835117362286133e-05,4.758150136239407e-06,2.8835117362286133e-05,4.665829958438391e-06,1.0,0.99999993600832,20
qwen3-235b,base,1,20,A2,156,1.35291851066238e-05,4.758150136239407e-06,1.35291851066238e-05,4.665829958438391e-06,1.0,0.99999993600832,20
qwen3-235b,base,1,20,A2,158,8.122661429435681e-06,2.115245215090653e-07,8.122661429435681e-06,2.217739093369698e-07,1.0,1.0000000071043353,20
qwen3-235b,base,1,20,A2,159,5.198995625654332e-06,2.115245215090653e-07,5.198995625654332e-06,2.217739093369698e-07,1.0,1.0000000071043353,20
qwen3-235b,base,1,20,A2,160,0.5056044105864845,2.115245215090653e-07,0.5056044105864845,2.217739093369698e-07,1.0,1.0000000071043353,20
qwen3-235b,base,1,22,A1,8,0.268869207417002,0.22707762389717098,0.268869207417002,0.2270589629923722,1.0,0.999984649127215,20
qwen3-235b,base,1,22,A1,17,0.416974070841512,2.6830397040372995e-06,0.416974070841512,2.648399297711738e-06,1.0,0.9999999759890557,20
qwen3-235b,base,1,22,A1,18,0.0035661451726192,2.6830397040372995e-06,0.0035661451726192,2.648399297711738e-06,1.0,0.9999999759890557,20
qwen3-235b,base,1,22,A1,32,0.0002350776150739,0.0002266505393367077,0.0002350776150739,0.00022664166451810612,1.0,0.999999993847478,20
qwen3-235b,base,1,22,A1,37,0.0059652489112969,2.189422246510618e-05,0.0059652489112969,2.164655453216706e-05,1.0,0.99999982832708,20
qwen3-235b,base,1,22,A1,47,5.6573124261205125e-06,1.5297465190521457e-06,5.6573124261205125e-06,1.6099504590618874e-06,1.0,1.0000000555931954,20
