model,condition,quantity,est,jk_se,ci_low,ci_high,n_turns,n_seeds
qwen3-235b,base,hard I_MM post,0.0823983769312323,0.04235886556776888,-0.0006249995815947179,0.1654217534440593,23.0,20
qwen3-235b,base,soft I-Ish post-pre,-0.007254947683299793,0.016710079077484948,-0.040006702675170286,0.025496807308570704,,20
qwen3-235b,base,hard I_MM post-pre,-0.015231063330112704,0.052084306820077295,-0.1173163046974642,0.08685417803723879,,20
qwen3-235b,placebo,soft I-Ish pre,0.010336857057614402,0.004791241261748389,0.000946024184587559,0.019727689930641244,7.0,20
qwen3-235b,placebo,soft I-Ish post,0.43802856062603346,0.10272515015458691,0.2366872663230431,0.6393698549290239,11.0,20
qwen3-235b,placebo,hard I_MM pre,0.09240838636319013,0.049702923939055524,-0.0050093445573587,0.18982611728373894,7.0,20
qwen3-235b,placebo,hard I_MM post,0.5371023053772763,0.1404680595255305,0.2617849087072366,0.8124197020473161,11.0,20
qwen3-235b,placebo,soft I-Ish post-pre,0.42769170356841907,0.10261352738972007,0.22656918988456773,0.6288142172522704,,20
qwen3-235b,placebo,hard I_MM post-pre,0.44469391901408617,0.14085239806001904,0.16862321881644887,0.7207646192117234,,20
qwen3-235b,switch,soft I-Ish pre,0.006634197430730341,0.003962306445645521,-0.00113192320273488,0.01440031806419556,7.0,20
qwen3-235b,switch,soft I-Ish post,0.2589610308194265,0.11164294580980758,0.04014085703220366,0.47778120460664936,9.0,20
qwen3-235b,switch,hard I_MM pre,0.1203385220762997,0.058487258584822316,0.005703495250047971,0.23497354890255145,7.0,20
qwen3-235b,switch,hard I_MM post,0.39605201767117826,0.15793289779797867,0.08650353798714006,0.7056004973552165,9.0,20
qwen3-235b,switch,soft I-Ish post-pre,0.25232683338869616,0.11058107809178656,0.03558792032879449,0.46906574644859783,,20
qwen3-235b,switch,hard I_MM post-pre,0.27571349559487857,0.17494151302084238,-0.06717186992597246,0.6185988611157296,,20
