model,condition,segment,target,candidate,k,n,rss,aic,bic,loso_mse,range_ok
llama-3.3-70b,placebo,full,y_raw,constant,1,969,47.6135997097803,-2917.7386515901244,-2912.8623869782336,0.04916915899260961,True
llama-3.3-70b,placebo,full,y_raw,linear,2,969,47.612026587395334,-2915.7706672491536,-2906.018138025372,0.04919098356416135,True
llama-3.3-70b,placebo,full,y_raw,log,2,969,47.415220471452805,-2919.78436658091,-2910.0318373571286,0.04898189003401777,True
llama-3.3-70b,placebo,full,y_raw,spline,4,969,46.25346210663881,-2939.8223172485723,-2920.3172588010093,0.0478265070347935,True
llama-3.3-70b,placebo,full,y_raw,zhu,6,969,33.89991932308011,-3236.91356605926,-3207.6559783879156,0.03614169536729215,True
llama-3.3-70b,placebo,full,y_adj,constant,1,969,11.668997750169119,-4280.329851262903,-4275.453586651011,0.012062926473613022,
llama-3.3-70b,placebo,full,y_adj,linear,2,969,11.617436553495743,-4282.621008988208,-4272.868479764426,0.012024997885557415,
llama-3.3-70b,placebo,full,y_adj,log,2,969,11.667911927674385,-4278.420022756273,-4268.667493532492,0.012073596350315753,
llama-3.3-70b,placebo,full,y_adj,spline,4,969,10.978734568706106,-4333.414993835465,-4313.909935387902,0.011400373867262486,
llama-3.3-70b,placebo,full,y_adj,zhu,6,969,10.624538475278456,-4361.192287239595,-4331.934699568251,0.011047364225508246,
llama-3.3-70b,placebo,post,y_raw,constant,1,710,35.831871277445764,-2118.363321604747,-2113.7980566347114,0.05052004766615853,True
llama-3.3-70b,placebo,post,y_raw,linear,2,710,35.24545547952229,-2128.0791438750894,-2118.948613935019,0.04976155933326442,True
llama-3.3-70b,placebo,post,y_raw,log,2,710,35.21823912445882,-2128.6276139252222,-2119.4970839851517,0.04972933465832676,True
llama-3.3-70b,placebo,post,y_raw,spline,4,710,35.1938239870815,-2125.119993993824,-2106.8589341136826,0.04976417070400984,True
llama-3.3-70b,placebo,post,y_raw,zhu,6,710,28.461506081391573,-2271.8658462734793,-2244.474256453267,0.0418102575696692,True
llama-3.3-70b,placebo,post,y_adj,constant,1,710,8.539512196917805,-3136.5983694022443,-3132.033104432209,0.01205855306922822,
llama-3.3-70b,placebo,post,y_adj,linear,2,710,8.156347690659569,-3167.1926266115265,-3158.062096671456,0.011565912414897647,
