model,condition,seed,turn,JS_bits,roll_corr5
gpt-4o-mini,base,5,14,0.006079740868959457,-0.26935674120932607
gpt-4o-mini,base,5,15,0.9301178808845645,-0.34279255465614555
gpt-4o-mini,base,5,16,0.49058666179934046,-0.7641809436527944
gpt-4o-mini,base,5,17,0.9994039162148669,-0.6244417394286723
gpt-4o-mini,base,5,18,0.028944767118324312,-0.6760331166577067
gpt-4o-mini,base,5,19,0.5467178165199484,-0.030338244470642012
gpt-4o-mini,base,5,20,0.9956962332857238,-0.345490822883154
gpt-4o-mini,base,5,21,0.2097248956131007,0.5656045760308092
gpt-4o-mini,base,5,22,0.7384739086922549,0.4800026402947458
gpt-4o-mini,base,5,23,0.6790699755150102,0.8262984098524768
gpt-4o-mini,base,5,24,0.9936352166308137,0.8403776028138207
gpt-4o-mini,base,5,25,0.009960883743181794,0.7842268402783746
gpt-4o-mini,base,5,26,0.5090935918727265,0.7742241502390493
gpt-4o-mini,base,5,27,0.6732073002555543,0.8829205231206242
gpt-4o-mini,base,5,28,0.04010971385835665,0.670473177439258
gpt-4o-mini,base,5,29,0.16264602962858538,-0.5792748255564081
gpt-4o-mini,base,5,30,0.9838665106361252,-0.6675156863148313
gpt-4o-mini,base,6,1,0.00012222208798713817,
gpt-4o-mini,base,6,2,5.214241921339521e-06,
gpt-4o-mini,base,6,3,0.00025000984064161896,
gpt-4o-mini,base,6,4,0.9764310933990815,0.6285949057002012
gpt-4o-mini,base,6,5,0.9803116624808312,0.644574846980114
gpt-4o-mini,base,6,6,0.1911166547290846,-0.41725132915111346
gpt-4o-mini,base,6,7,0.8610920035767318,-0.22696713078026437
gpt-4o-mini,base,6,8,0.9082590492402633,-0.23129060259985287
gpt-4o-mini,base,6,9,0.6075741165752081,-0.09674190385998832
gpt-4o-mini,base,6,10,0.042064480489141964,-0.31658168428940064
gpt-4o-mini,base,6,11,0.996745293875622,-0.2692556460924085
gpt-4o-mini,base,6,12,0.0062472142104505225,-0.7130273046669929
gpt-4o-mini,base,6,13,0.8455267916646214,0.23347473339245242
gpt-4o-mini,base,6,14,0.9994198164779283,0.13506514884516516
gpt-4o-mini,base,6,15,0.0213206165159766,0.40401399298706964
gpt-4o-mini,base,6,16,0.8790177800120598,-0.05769794003257982
gpt-4o-mini,base,6,17,0.9596533561425622,-0.04755567400817388
gpt-4o-mini,base,6,18,0.8597373004793983,-0.35301939641108826
gpt-4o-mini,base,6,19,0.0935515333604195,0.00681275959330839
gpt-4o-mini,base,6,20,0.9999846557570395,-0.17692691017528317
gpt-4o-mini,base,6,21,0.6076339237021973,0.21693162755517426
gpt-4o-mini,base,6,22,0.3146549479621997,0.2253585904807741
gpt-4o-mini,base,6,23,0.8648445677236034,0.39504105299256687
