spec,metric,window,adjust,model,kind,contrast,n_seeds,missing_seeds,mean,ci_low,ci_high,median,sd,n_pos,p_sign,p_wilcoxon,p_wilcoxon_bh,p_wilcoxon_bh_family
main,mean_H_renorm_bits,10,adj,llama-3.3-70b,level,P-B,19,3,0.033988215585269044,0.016918646679089253,0.05186079249508394,0.025038319974539286,0.040602945814952746,14,0.063568115234375,0.002838134765625,0.0481201171875,0.06874302455357142
main,mean_H_renorm_bits,10,adj,llama-3.3-70b,prepost,comm,19,3,0.007667013458057474,-0.004957573482195295,0.02097261444685875,0.005144582397382483,0.030089306602594876,11,0.6476058959960938,0.3320655822753906,0.7893618319896941,0.8337080023261938
main,mean_H_renorm_bits,10,adj,llama-3.3-70b,prepost,S-P,19,3,-0.005492940320196443,-0.021873861608054684,0.010778948711112943,-0.0077442866836262,0.037891786520649784,9,1.0,0.4413337707519531,0.7893618319896941,0.8337080023261938
main,mean_H_renorm_bits,10,adj,llama-3.3-70b,prepost,P-B,19,3,0.026319907556507833,0.009501749475979907,0.045669778342039086,0.012004478067277613,0.04144070236817617,14,0.063568115234375,0.014068603515625,0.14470563616071427,0.1688232421875
main,mean_H_renorm_bits,10,adj,qwen3-235b,level,comm,20,,0.019752662088772313,-0.019666613165905802,0.05976995389360535,0.02657421912680258,0.09220547027848984,12,0.5034446716308594,0.38837623596191406,0.7893618319896941,0.8337080023261938
main,mean_H_renorm_bits,10,adj,qwen3-235b,level,S-P,20,,-0.022655782061984868,-0.07569822078302865,0.029467225160191617,-0.02615808095560182,0.1213308709672288,8,0.5034446716308594,0.38837623596191406,0.7893618319896941,0.8337080023261938
main,mean_H_renorm_bits,10,adj,qwen3-235b,level,P-B,20,,0.08481688830151438,0.0442165195572182,0.12473396647349401,0.08267226854196401,0.09366912239994622,16,0.01181793212890625,0.001209259033203125,0.0481201171875,0.06874302455357142
main,mean_H_renorm_bits,10,adj,qwen3-235b,prepost,comm,20,,0.0010291196698426527,-0.041551278452843544,0.04384650109974164,-0.008899398858871213,0.09977562064300559,9,0.8238029479980469,0.8694877624511719,0.9072915782099185,0.9343749089027519
main,mean_H_renorm_bits,10,adj,qwen3-235b,prepost,S-P,20,,-0.03179778453118089,-0.09132391204330367,0.028597459710528253,-0.025550130271522156,0.1388126950784679,8,0.5034446716308594,0.34881019592285156,0.7893618319896941,0.8337080023261938
main,mean_H_renorm_bits,10,adj,qwen3-235b,prepost,P-B,20,,0.06565380840204708,0.007196453984274702,0.12220197146057482,0.07228506938426935,0.13270401907777443,13,0.26317596435546875,0.058258056640625,0.3813254616477273,0.3994838169642857
read_only,mean_H_renorm_bits,5,read_only,gpt-4o-mini,level,comm,4,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,19,20",-0.30603575307534414,-0.4135160494431792,-0.15131323660827467,-0.35327797317457865,0.15311519657980743,0,0.125,0.125,0.75,0.5791709206321023
read_only,mean_H_renorm_bits,5,read_only,gpt-4o-mini,level,S-P,5,"2,3,4,5,6,7,8,9,10,12,13,14,15,19,20",-0.20618256219656148,-0.31329345767900935,-0.09907166671411367,-0.13331897714320082,0.14034342988991233,0,0.0625,0.0625,0.5625,0.4090909090909091
read_only,mean_H_renorm_bits,5,read_only,gpt-4o-mini,level,P-B,6,"2,3,4,5,7,8,10,11,12,13,14,15,19,20",-0.022727305561368788,-0.21948362455720147,0.14769227787101236,0.03173133347835544,0.2505453258952246,4,0.6875,1.0,1.0,1.0
read_only,mean_H_renorm_bits,5,read_only,gpt-4o-mini,prepost,comm,1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20",-0.21360334009669482,-0.21360334009669482,-0.21360334009669482,-0.21360334009669482,,0,1.0,1.0,1.0,1.0
read_only,mean_H_renorm_bits,5,read_only,gpt-4o-mini,prepost,S-P,2,"1,2,3,4,5,6,7,8,9,10,12,13,14,15,17,18,19,20",-0.2591722539197436,-0.28539836995893875,-0.23294613788054838,-0.2591722539197436,0.037089328991000384,0,0.5,0.5,0.9489735194614956,0.8337080023261938
read_only,mean_H_renorm_bits,5,read_only,gpt-4o-mini,prepost,P-B,2,"1,2,3,4,5,6,7,8,10,11,12,13,14,15,17,18,19,20",0.027368595453947098,0.016051595340187075,0.03868559556770712,0.027368595453947098,0.016004655046257286,2,0.5,0.5,0.9489735194614956,0.8337080023261938
read_only,mean_H_renorm_bits,5,read_only,llama-3.3-70b,level,comm,19,3,-4.2905088930042566e-05,-0.00015853982648915985,3.489509523606672e-05,3.600017772908753e-05,0.00023270001262826515,11,0.6476058959960938,0.9217147827148438,1.0,0.9675949760105299
read_only,mean_H_renorm_bits,5,read_only,llama-3.3-70b,level,S-P,19,3,-9.765768816668495e-05,-0.00030638431944079693,3.034098518183904e-05,1.9151308652039928e-05,0.00042388237570347315,10,1.0,0.70855712890625,0.9489735194614956,0.9029400580752213
read_only,mean_H_renorm_bits,5,read_only,llama-3.3-70b,level,P-B,19,3,0.00010950519847328478,-1.3101708206964082e-07,0.00029887091414430655,1.2404398890750006e-05,0.0003930949312582903,13,0.1670684814453125,0.12318801879882812,0.75,0.5791709206321023
read_only,mean_H_renorm_bits,5,read_only,llama-3.3-70b,prepost,comm,19,3,4.0067293400305605e-05,-0.00011539390890659046,0.00020038087894540057,3.894856111507505e-05,0.0003530294319973554,12,0.359283447265625,0.2934989929199219,0.9489735194614956,0.8127664419320914
read_only,mean_H_renorm_bits,5,read_only,llama-3.3-70b,prepost,S-P,19,3,2.1123386096813467e-05,-0.0002754612769445381,0.0003415438785479128,2.544137579648997e-05,0.0006712260901314134,10,1.0,0.7380905151367188,0.9489735194614956,0.9150249577370011
read_only,mean_H_renorm_bits,5,read_only,llama-3.3-70b,prepost,P-B,19,3,3.788781460698422e-05,-0.0002853967673883448,0.00032002767002493854,4.990858662004159e-05,0.0006632908948640282,14,0.063568115234375,0.049365997314453125,0.5625,0.37414229543585525
read_only,mean_H_renorm_bits,5,read_only,qwen3-235b,level,comm,20,,0.014490014412963914,-0.052570510631686065,0.08172648186141097,0.014218602852892268,0.1567835956443753,11,0.8238029479980469,0.6742229461669922,0.9489735194614956,0.8865767045454546
