spec,metric,window,adjust,model,kind,contrast,n_seeds,missing_seeds,mean,ci_low,ci_high,median,sd,n_pos,p_sign,p_wilcoxon,p_wilcoxon_bh,p_wilcoxon_bh_family,sensitivity,p_bh_family_endpoints
main,mean_H_renorm_bits,10,adj,llama-3.3-70b,level,P-B,19,3,0.033988215585269,0.0169186466790892,0.0518607924950839,0.0250383199745392,0.0406029458149527,14,0.063568115234375,0.002838134765625,0.0481201171875,0.0687430245535714,primary (s03),0.06874302455357142
main,mean_H_renorm_bits,10,adj,llama-3.3-70b,prepost,comm,19,3,0.0076670134580574,-0.0049575734821952,0.0209726144468587,0.0051445823973824,0.0300893066025948,11,0.6476058959960938,0.3320655822753906,0.7893618319896941,0.8337080023261938,primary (s03),0.8626976876237273
main,mean_H_renorm_bits,10,adj,llama-3.3-70b,prepost,S-P,19,3,-0.0054929403201964,-0.0218738616080546,0.0107789487111129,-0.0077442866836262,0.0378917865206497,9,1.0,0.4413337707519531,0.7893618319896941,0.8337080023261938,primary (s03),0.8626976876237273
main,mean_H_renorm_bits,10,adj,llama-3.3-70b,prepost,P-B,19,3,0.0263199075565078,0.0095017494759799,0.045669778342039,0.0120044780672776,0.0414407023681761,14,0.063568115234375,0.014068603515625,0.1447056361607142,0.1688232421875,primary (s03),0.19605279737903225
main,mean_H_renorm_bits,10,adj,qwen3-235b,level,comm,20,,0.0197526620887723,-0.0196666131659058,0.0597699538936053,0.0265742191268025,0.0922054702784898,12,0.5034446716308594,0.388376235961914,0.7893618319896941,0.8337080023261938,primary (s03),0.8626976876237273
main,mean_H_renorm_bits,10,adj,qwen3-235b,level,S-P,20,,-0.0226557820619848,-0.0756982207830286,0.0294672251601916,-0.0261580809556018,0.1213308709672288,8,0.5034446716308594,0.388376235961914,0.7893618319896941,0.8337080023261938,primary (s03),0.8626976876237273
main,mean_H_renorm_bits,10,adj,qwen3-235b,level,P-B,20,,0.0848168883015143,0.0442165195572182,0.124733966473494,0.082672268541964,0.0936691223999462,16,0.0118179321289062,0.0012092590332031,0.0481201171875,0.0687430245535714,primary (s03),0.06874302455357142
main,mean_H_renorm_bits,10,adj,qwen3-235b,prepost,comm,20,,0.0010291196698426,-0.0415512784528435,0.0438465010997416,-0.0088993988588712,0.0997756206430055,9,0.8238029479980469,0.8694877624511719,0.9072915782099183,0.934374908902752,primary (s03),0.980727711172079
main,mean_H_renorm_bits,10,adj,qwen3-235b,prepost,S-P,20,,-0.0317977845311808,-0.0913239120433036,0.0285974597105282,-0.0255501302715221,0.1388126950784679,8,0.5034446716308594,0.3488101959228515,0.7893618319896941,0.8337080023261938,primary (s03),0.8626976876237273
main,mean_H_renorm_bits,10,adj,qwen3-235b,prepost,P-B,20,,0.065653808402047,0.0071964539842747,0.1222019714605748,0.0722850693842693,0.1327040190777744,13,0.2631759643554687,0.058258056640625,0.3813254616477273,0.3994838169642857,primary (s03),0.466064453125
read_only,mean_H_renorm_bits,5,read_only,gpt-4o-mini,level,comm,4,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,19,20",-0.3060357530753441,-0.4135160494431792,-0.1513132366082746,-0.3532779731745786,0.1531151965798074,0,0.125,0.125,0.75,0.5791709206321023,primary (s03),0.6515672857111151
read_only,mean_H_renorm_bits,5,read_only,gpt-4o-mini,level,S-P,5,"2,3,4,5,6,7,8,9,10,12,13,14,15,19,20",-0.2061825621965614,-0.3132934576790093,-0.0990716667141136,-0.1333189771432008,0.1403434298899123,0,0.0625,0.0625,0.5625,0.4090909090909091,primary (s03),0.4909090909090909
read_only,mean_H_renorm_bits,5,read_only,gpt-4o-mini,level,P-B,6,"2,3,4,5,7,8,10,11,12,13,14,15,19,20",-0.0227273055613687,-0.2194836245572014,0.1476922778710123,0.0317313334783554,0.2505453258952246,4,0.6875,1.0,1.0,1.0,primary (s03),1.0
read_only,mean_H_renorm_bits,5,read_only,gpt-4o-mini,prepost,comm,1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20",-0.2136033400966948,-0.2136033400966948,-0.2136033400966948,-0.2136033400966948,,0,1.0,1.0,1.0,1.0,primary (s03),1.0
read_only,mean_H_renorm_bits,5,read_only,gpt-4o-mini,prepost,S-P,2,"1,2,3,4,5,6,7,8,9,10,12,13,14,15,17,18,19,20",-0.2591722539197436,-0.2853983699589387,-0.2329461378805483,-0.2591722539197436,0.0370893289910003,0,0.5,0.5,0.9489735194614956,0.8337080023261938,primary (s03),0.8661480024167072
read_only,mean_H_renorm_bits,5,read_only,gpt-4o-mini,prepost,P-B,2,"1,2,3,4,5,6,7,8,10,11,12,13,14,15,17,18,19,20",0.027368595453947,0.016051595340187,0.0386855955677071,0.027368595453947,0.0160046550462572,2,0.5,0.5,0.9489735194614956,0.8337080023261938,primary (s03),0.8661480024167072
read_only,mean_H_renorm_bits,5,read_only,llama-3.3-70b,level,comm,19,3,-4.2905088930042566e-05,-0.0001585398264891,3.489509523606672e-05,3.600017772908753e-05,0.0002327000126282,11,0.6476058959960938,0.9217147827148438,1.0,0.96759497601053,primary (s03),0.9955042827560241
read_only,mean_H_renorm_bits,5,read_only,llama-3.3-70b,level,S-P,19,3,-9.765768816668496e-05,-0.0003063843194407,3.034098518183904e-05,1.9151308652039928e-05,0.0004238823757034,10,1.0,0.70855712890625,0.9489735194614956,0.9029400580752212,primary (s03),0.9656046677839116
read_only,mean_H_renorm_bits,5,read_only,llama-3.3-70b,level,P-B,19,3,0.0001095051984732,-1.3101708206964082e-07,0.0002988709141443,1.2404398890750006e-05,0.0003930949312582,13,0.1670684814453125,0.1231880187988281,0.75,0.5791709206321023,primary (s03),0.6515672857111151
read_only,mean_H_renorm_bits,5,read_only,llama-3.3-70b,prepost,comm,19,3,4.0067293400305605e-05,-0.0001153939089065,0.0002003808789454,3.894856111507505e-05,0.0003530294319973,12,0.359283447265625,0.2934989929199219,0.9489735194614956,0.8127664419320914,primary (s03),0.8626976876237273
