model,condition,seed,pre,post,prepost,level,end_turn,spec,metric,window,adjust
qwen3-235b,placebo,4,0.26681536636515835,0.4960850495074459,0.22926968314228757,0.4960850495074459,14,main,mean_H_renorm_bits,5,adj
qwen3-235b,placebo,5,0.1966278005833235,0.38351911492605667,0.18689131434273318,0.38351911492605667,18,main,mean_H_renorm_bits,5,adj
qwen3-235b,placebo,6,0.24418469772679385,0.3237590490072775,0.07957435128048362,0.3237590490072775,21,main,mean_H_renorm_bits,5,adj
qwen3-235b,placebo,7,0.1579154859492929,0.3883183290832165,0.23040284313392362,0.3883183290832165,22,main,mean_H_renorm_bits,5,adj
qwen3-235b,placebo,8,0.2826167484575076,0.43069269874640226,0.14807595028889464,0.43069269874640226,18,main,mean_H_renorm_bits,5,adj
qwen3-235b,placebo,9,0.22064211660507574,0.2743126886651588,0.05367057206008305,0.2743126886651588,15,main,mean_H_renorm_bits,5,adj
qwen3-235b,placebo,10,0.2484717391633902,0.42045239321007244,0.17198065404668225,0.42045239321007244,10,main,mean_H_renorm_bits,5,adj
qwen3-235b,placebo,11,0.25818453546181347,0.2201742807777407,-0.038010254684072764,0.2201742807777407,11,main,mean_H_renorm_bits,5,adj
qwen3-235b,placebo,12,0.2805161119199114,0.3055211280900206,0.025005016170109196,0.3055211280900206,20,main,mean_H_renorm_bits,5,adj
qwen3-235b,placebo,13,0.2708016445130614,0.24463691961968947,-0.026164724893371905,0.24463691961968947,21,main,mean_H_renorm_bits,5,adj
qwen3-235b,placebo,14,0.28066727795915186,0.4186686777676362,0.13800139980848436,0.4186686777676362,14,main,mean_H_renorm_bits,5,adj
qwen3-235b,placebo,15,0.20171996192689884,0.4062870677611178,0.20456710583421894,0.4062870677611178,12,main,mean_H_renorm_bits,5,adj
qwen3-235b,placebo,16,0.27067871030785534,0.23403837398152172,-0.03664033632633362,0.23403837398152172,18,main,mean_H_renorm_bits,5,adj
qwen3-235b,placebo,17,0.3659063104834384,0.3477145212802432,-0.018191789203195197,0.3477145212802432,10,main,mean_H_renorm_bits,5,adj
qwen3-235b,placebo,18,0.32057228121588305,0.25725656833480665,-0.0633157128810764,0.25725656833480665,20,main,mean_H_renorm_bits,5,adj
qwen3-235b,placebo,19,0.2223688534122843,0.29978945035804955,0.07742059694576525,0.29978945035804955,21,main,mean_H_renorm_bits,5,adj
qwen3-235b,placebo,20,0.24313012224021732,0.22017561731249016,-0.02295450492772716,0.22017561731249016,10,main,mean_H_renorm_bits,5,adj
qwen3-235b,switch,1,0.20894132578497301,0.342162995071659,0.13322166928668597,0.342162995071659,11,main,mean_H_renorm_bits,5,adj
qwen3-235b,switch,2,0.19423093525214236,0.35209809732219804,0.1578671620700557,0.35209809732219804,11,main,mean_H_renorm_bits,5,adj
qwen3-235b,switch,3,0.24605051671136177,0.2886015768056989,0.04255106009433715,0.2886015768056989,16,main,mean_H_renorm_bits,5,adj
qwen3-235b,switch,4,0.35544746016729106,0.21381605971879933,-0.14163140044849173,0.21381605971879933,14,main,mean_H_renorm_bits,5,adj
qwen3-235b,switch,5,0.2299898761750918,0.12883282925392053,-0.10115704692117128,0.12883282925392053,30,main,mean_H_renorm_bits,5,adj
qwen3-235b,switch,6,0.17438248234261508,0.29898379333023456,0.12460131098761948,0.29898379333023456,20,main,mean_H_renorm_bits,5,adj
qwen3-235b,switch,7,0.16359117975223966,0.3295485860954009,0.16595740634316122,0.3295485860954009,20,main,mean_H_renorm_bits,5,adj
qwen3-235b,switch,8,0.2314329253227261,0.24713104076730344,0.015698115444577332,0.24713104076730344,14,main,mean_H_renorm_bits,5,adj
qwen3-235b,switch,9,0.28346907710515296,0.29898044457342987,0.015511367468276915,0.29898044457342987,12,main,mean_H_renorm_bits,5,adj
qwen3-235b,switch,10,0.24301816852578015,0.2863338957119724,0.04331572718619223,0.2863338957119724,11,main,mean_H_renorm_bits,5,adj
qwen3-235b,switch,11,0.2847835889697297,0.2521695377915457,-0.032614051178184,0.2521695377915457,20,main,mean_H_renorm_bits,5,adj
qwen3-235b,switch,12,0.21251194976634177,0.45391239634012076,0.241400446573779,0.45391239634012076,20,main,mean_H_renorm_bits,5,adj
qwen3-235b,switch,13,0.321829490889883,0.3451489057684264,0.023319414878543387,0.3451489057684264,19,main,mean_H_renorm_bits,5,adj
qwen3-235b,switch,14,0.2679600939622378,0.1820155924756492,-0.08594450148658861,0.1820155924756492,30,main,mean_H_renorm_bits,5,adj
qwen3-235b,switch,15,0.30768379563502546,0.4359963251506233,0.12831252951559785,0.4359963251506233,20,main,mean_H_renorm_bits,5,adj
qwen3-235b,switch,16,0.2961265542330524,0.2854660689302319,-0.010660485302820488,0.2854660689302319,13,main,mean_H_renorm_bits,5,adj
qwen3-235b,switch,17,0.24755206079526426,0.3243841650191565,0.07683210422389225,0.3243841650191565,13,main,mean_H_renorm_bits,5,adj
qwen3-235b,switch,18,0.30084122760705,0.3235413613707294,0.02270013376367941,0.3235413613707294,11,main,mean_H_renorm_bits,5,adj
qwen3-235b,switch,19,0.3039520593168719,0.19839568364395235,-0.10555637567291956,0.19839568364395235,17,main,mean_H_renorm_bits,5,adj
