model,condition,turn,runs_paired,I_minus_shuffled,hard_I_MM,null95_soft,null95_hard,p_perm_soft,p_perm_hard,H_system_bits,H_system_ci_low,H_system_ci_high,sum_H_bits
gpt-4o-mini,base,27,20,0.02455834979088012,-0.08539765564353624,0.17760807367238393,0.31948819800359196,0.9181636726546906,0.9580838323353293,2.9145682978039997,2.341151824888007,2.9919917989848432,2.939192816403161
gpt-4o-mini,base,28,20,0.05878806748588694,0.12948299897325558,0.1177594689767485,0.3626493004883069,0.3193612774451098,0.5708582834331337,2.7019943441915824,2.1735563044281463,2.9228629463629123,2.760936718779325
gpt-4o-mini,base,29,20,0.030605160589188607,0.024309734127941254,0.10901661583141195,0.17204065624710196,0.4311377245508982,0.8163672654690619,2.3808138130220637,1.8748441880477775,2.568202523433915,2.4115131662980507
gpt-4o-mini,base,30,20,0.059876762780946,0.026854856790987675,0.18366084729642126,0.31512380866712864,0.5568862275449101,0.6067864271457086,2.858246881867592,2.273230959635559,2.947614969961702,2.9182853449227872
gpt-4o-mini,placebo,1,20,8.936439262197116e-12,0.0,1.5734173447641544e-11,0.0,0.16367265469061876,1.0,0.0026719736180909,0.0022571718861685,0.0031075729919485,0.0026719736270531
gpt-4o-mini,placebo,2,20,4.268134894125364e-09,0.0,1.1548670595176722e-08,0.0,0.22355289421157684,1.0,0.0369095477453947,0.0090346915636241,0.0676777652624033,0.0369095520241733
gpt-4o-mini,placebo,3,20,0.013882726491168729,-0.03591097035083489,0.058003716005808156,0.10326291047654523,0.43313373253493015,1.0,1.8269964992840413,1.369474266944835,2.062929467128165,1.840918170534656
gpt-4o-mini,placebo,4,20,0.00975876640283202,-0.008655051731397898,0.08552867170691371,0.16690339459096037,0.592814371257485,1.0,1.8191487452555928,1.3527651409362351,2.0677380704552712,1.828933986665695
gpt-4o-mini,placebo,5,20,0.07458095501913897,0.01999627626755099,0.16138386675983,0.23141860543717754,0.2155688622754491,0.4291417165668663,2.1774621242329504,1.5105261826384284,2.4488565882650124,2.252254344948141
gpt-4o-mini,placebo,6,20,0.04386613563959596,0.019279892330165388,0.1277543551397947,0.29518384245888374,0.469061876247505,0.8403193612774451,2.5891989232701325,2.130526605548381,2.7051035056126405,2.6331812360768585
gpt-4o-mini,placebo,7,20,0.05389575024629467,0.22968842927123848,0.1317575090827479,0.3052556584489648,0.499001996007984,0.13972055888223553,2.5518721564512363,1.8415200903110152,2.843006800921972,2.605919347189447
gpt-4o-mini,placebo,8,20,0.11334148526172116,0.08816660212011841,0.17796111381233115,0.17688847766098537,0.12574850299401197,0.14171656686626746,2.3454152920842883,1.7687839001171923,2.4817819058013084,2.459058582649111
gpt-4o-mini,placebo,9,20,0.15933183989792266,0.05478661634840745,0.28293194584937265,0.28586071886513764,0.47904191616766467,0.4870259481037924,2.7784567716485604,2.1807289678304027,2.8882395776375733,2.938187912694742
gpt-4o-mini,placebo,10,20,0.245602052184537,0.33293500758477146,0.28596449312670164,0.43625128200431584,0.15169660678642716,0.21756487025948104,2.9980503952522457,2.211107337901109,3.2084613168348985,3.2442528772954304
gpt-4o-mini,placebo,11,20,0.3153492142082004,0.5113855443174988,0.3936154447241827,0.6246186696420195,0.21357285429141717,0.21157684630738524,3.275008900217822,2.4906767983953872,3.4031695857471824,3.591318137659328
gpt-4o-mini,placebo,12,19,0.17258180993782224,0.05427606074626251,0.43519435799100803,0.5763779655507796,0.8922155688622755,0.9520958083832335,3.5473307494557944,2.7868303799770207,3.5536923645933998,3.720892283564912
gpt-4o-mini,placebo,13,19,0.34180762264354625,0.42298647055903604,0.4869782193280206,0.5264843662580367,0.3652694610778443,0.15568862275449102,3.1649059762218554,2.2088621391126586,3.291586233752418,3.5076489844592187
gpt-4o-mini,placebo,14,19,0.22129122744502983,0.19430669588533436,0.3690680174401727,0.44279867064557,0.37325349301397204,0.4530938123752495,3.2893021144580943,2.6469885650422,3.311136347238336,3.511274599980207
gpt-4o-mini,placebo,15,19,0.29061731395306545,0.3695154083560124,0.4847737608679906,0.5782764619497498,0.40718562874251496,0.25948103792415167,3.3543627176805804,2.60599856151295,3.31787896550327,3.645938469495373
gpt-4o-mini,placebo,16,19,0.25590977366719114,0.27884383940185575,0.4370567925342978,0.5325918915362959,0.5668662674650699,0.499001996007984,3.3655118801280124,2.683742003741165,3.407670797940974,3.622215919431987
gpt-4o-mini,placebo,17,19,0.2875018141742878,0.19181174769821935,0.42401963965786255,0.5629873011364177,0.2834331337325349,0.6467065868263473,3.340068496650288,2.5549991752758703,3.34872525688356,3.6282952708583487
gpt-4o-mini,placebo,18,18,0.4231132608905881,0.49228152682828863,0.48414282259916264,0.6854988613668391,0.14770459081836326,0.34930139720558884,3.4482298330297083,2.559589339086992,3.533098884761442,3.8725863222437016
gpt-4o-mini,placebo,19,17,0.39405425284264695,0.6036486656937287,0.4953722443995441,0.7427385466702158,0.15768463073852296,0.21756487025948104,3.282079366419256,2.4932025745227406,3.360017298573636,3.677538077744293
gpt-4o-mini,placebo,20,17,0.4065096233533789,0.5664760512378842,0.5799417257514321,0.7553920815977402,0.2894211576846307,0.21956087824351297,3.2077768072806294,2.2963581531428594,3.2585194552904784,3.615676830298698
gpt-4o-mini,placebo,21,15,0.5665990585387348,0.649353464240467,0.6058894436208092,0.7075263942048367,0.08183632734530938,0.13572854291417166,3.069149001383056,2.2008190471407607,3.158706868943641,3.638478784884396
