model,target,contrast,param,diff,boot_sd_a,boot_sd_b,ratio,flagged
llama-3.3-70b,y_adj,switch-placebo,phi,-0.46777931428885977,1.9279806904801489,1.6487005400273063,0.18439784342569954,False
llama-3.3-70b,y_adj,switch-placebo,beta,-0.0008919226651584317,0.01586941641342252,0.011763979003144189,0.04515097233014728,False
llama-3.3-70b,y_adj,switch-placebo,H0,-0.014161253955427777,0.04042967363733457,0.03465200965110012,0.26595040053994967,False
llama-3.3-70b,y_adj,switch-base,A,-0.1990737685420755,1.648259702861705,0.6050972808035513,0.11337939209127976,False
llama-3.3-70b,y_adj,switch-base,lam,-2.148219967992194e-23,0.14239841226798935,0.05109149691627435,1.4199666942375847e-22,False
llama-3.3-70b,y_adj,switch-base,omega,1.3103730426220275,0.7122484373289321,1.0518701266670867,1.0315248672124557,False
llama-3.3-70b,y_adj,switch-base,phi,-0.8554352957673159,1.9279806904801489,1.9629717101639255,0.3109057004214995,False
llama-3.3-70b,y_adj,switch-base,beta,-0.2935390493445288,0.01586941641342252,0.185167057106164,1.5794760021286716,False
llama-3.3-70b,y_adj,switch-base,H0,0.7813774353088518,0.04042967363733457,0.43501542683687233,1.7884987393989498,False
llama-3.3-70b,y_adj,placebo-base,A,-0.2531744415618029,0.8146220542599982,0.6050972808035513,0.24949025023208182,False
llama-3.3-70b,y_adj,placebo-base,lam,0.05990829226139478,0.07435945472994938,0.05109149691627435,0.6640236574391516,False
llama-3.3-70b,y_adj,placebo-base,omega,2.807472621593754,0.7510682053509415,1.0518701266670867,2.17214014661135,True
llama-3.3-70b,y_adj,placebo-base,phi,-0.38765598147845615,1.6487005400273063,1.9629717101639255,0.15122206986650102,False
llama-3.3-70b,y_adj,placebo-base,beta,-0.2926471266793703,0.011763979003144189,0.185167057106164,1.5772692540464657,False
llama-3.3-70b,y_adj,placebo-base,H0,0.7955386892642796,0.03465200965110012,0.43501542683687233,1.8229852310113177,False
qwen3-235b,y_raw,switch-placebo,A,-0.2924325037451267,1.5416203387217928,1.336002198990848,0.14335107248745838,False
qwen3-235b,y_raw,switch-placebo,lam,0.16256732228238327,0.10688647544980164,0.10485575313860962,1.0857274011083076,False
qwen3-235b,y_raw,switch-placebo,omega,0.5201343333364337,0.8331705267757495,0.720063314627474,0.47232966760515116,False
qwen3-235b,y_raw,switch-placebo,phi,-1.7649968026892038,2.02109873894934,1.8337372557563354,0.646756254133034,False
qwen3-235b,y_raw,switch-placebo,beta,-0.0015808582227815407,0.06086301803015158,0.1615061989219245,0.009159424204739103,False
qwen3-235b,y_raw,switch-placebo,H0,-0.003841298478479638,0.16557586077459982,0.4572388324884436,0.007899113466907028,False
qwen3-235b,y_raw,switch-base,A,-0.2542546244574696,1.5416203387217928,2.115904545524749,0.09711986008511402,False
qwen3-235b,y_raw,switch-base,lam,0.1087006169663776,0.10688647544980164,0.11188017600698436,0.7025104220732192,False
qwen3-235b,y_raw,switch-base,omega,2.4656391319082274,0.8331705267757495,0.32508338565657074,2.7569228045118312,True
qwen3-235b,y_raw,switch-base,phi,-5.063931534361606,2.02109873894934,1.6852162570296816,1.9243514780194975,False
qwen3-235b,y_raw,switch-base,beta,-0.07526448924278205,0.06086301803015158,0.11640926710917279,0.5729639473973118,False
qwen3-235b,y_raw,switch-base,H0,0.23511873474867093,0.16557586077459982,0.3908520733326135,0.5539022003397741,False
qwen3-235b,y_raw,placebo-base,A,0.038177879287657104,1.336002198990848,2.115904545524749,0.015256568618872545,False
qwen3-235b,y_raw,placebo-base,lam,-0.05386670531600567,0.10485575313860962,0.11188017600698436,0.35129868567849337,False
qwen3-235b,y_raw,placebo-base,omega,1.9455047985717937,0.720063314627474,0.32508338565657074,2.4625254466508677,True
qwen3-235b,y_raw,placebo-base,phi,-3.298934731672402,1.8337372557563354,1.6852162570296816,1.3246121090999115,False
qwen3-235b,y_raw,placebo-base,beta,-0.0736836310200005,0.1615061989219245,0.11640926710917279,0.3701089284373796,False
