model,spec,metric,estimator,n_obs,term,est,se,ci_low,ci_high,p,converged,p_bh_DiD_SP_OLS,sensitivity,p_bh_family_its_DiD_SP
qwen3-235b,main,mean_H_renorm_bits,MixedLM,2228,level DiD P-B,0.0382692724584343,0.0367688160419593,-0.0337962827379844,0.1103348276548532,0.2979647349588776,True,,primary (s04),
qwen3-235b,main,mean_H_renorm_bits,MixedLM,2228,slope S,-0.0252123727742338,0.0058946380947768,-0.0367656511418941,-0.0136590944065734,1.892837411420982e-05,True,,primary (s04),
qwen3-235b,main,mean_H_renorm_bits,MixedLM,2228,slope P,-0.0220164911066896,0.0061408693270765,-0.0340523738215265,-0.0099806083918528,0.0003367682041187,True,,primary (s04),
qwen3-235b,main,mean_H_renorm_bits,MixedLM,2228,slope B,-0.0146953184225648,0.0053889359993357,-0.0252574388962543,-0.0041331979488753,0.0063924184024389,True,,primary (s04),
qwen3-235b,main,mean_H_renorm_bits,MixedLM,2228,slope DiD S-P,-0.0031958816675441,0.0080441054942547,-0.0189620387241241,0.0125702753890359,0.6911500463189855,True,,primary (s04),
qwen3-235b,main,mean_H_renorm_bits,MixedLM,2228,slope DiD S-B,-0.0105170543516689,0.0075411967407804,-0.0252975283639295,0.0042634196605915,0.1631324390486037,True,,primary (s04),
qwen3-235b,main,mean_H_renorm_bits,MixedLM,2228,slope DiD P-B,-0.0073211726841248,0.0077029597138527,-0.0224186962976391,0.0077763509293894,0.3418905964324111,True,,primary (s04),
pooled (mean of models),main,mean_H_renorm_bits,OLS-CR(seed),8152,level DiD S-P,-0.0437411498136955,0.0360013996869462,-0.1190929453508416,0.0316106457234506,0.2392554699456371,,0.7149516993463366,primary (s04),0.7943576428781005
pooled (mean of models),main,mean_H_renorm_bits,OLS-CR(seed),8152,level DiD S-B,-0.0508550405715555,0.024301675616228,-0.1017190321987487,8.95105563761267e-06,0.0500364385605643,,,primary (s04),
pooled (mean of models),main,mean_H_renorm_bits,OLS-CR(seed),8152,level DiD P-B,-0.00711389075786,0.029947286863443,-0.0697942825273121,0.0555665010115921,0.8147751020506142,,,primary (s04),
pooled (mean of models),main,mean_H_renorm_bits,OLS-CR(seed),8152,slope DiD S-P,-0.0044194807771907,0.0056122705887497,-0.0161660981192922,0.0073271365649108,0.4407217552428184,,0.7149516993463366,primary (s04),0.7943576428781005
pooled (mean of models),main,mean_H_renorm_bits,OLS-CR(seed),8152,slope DiD S-B,-0.0164277230125472,0.004528251455237,-0.0259054622327677,-0.0069499837923267,0.0017913221129977,,,primary (s04),
pooled (mean of models),main,mean_H_renorm_bits,OLS-CR(seed),8152,slope DiD P-B,-0.0120082422353565,0.0034441926315915,-0.0192170202612934,-0.0047994642094195,0.0024697454799916,,,primary (s04),
gpt-4o-mini,exposure,mean_H_renorm_bits,OLS-CR(seed),2947,level S,-0.0596321055328171,0.0270615747866098,-0.116272632511361,-0.0029915785542732,0.0400913144140986,,,primary (s04),
gpt-4o-mini,exposure,mean_H_renorm_bits,OLS-CR(seed),2947,level P,0.007238698691855,0.0414238942335796,-0.0794625083662929,0.0939399057500029,0.8631271459200569,,,primary (s04),
gpt-4o-mini,exposure,mean_H_renorm_bits,OLS-CR(seed),2947,level DiD S-P,-0.0668708042246721,0.0474998678845561,-0.1662891702882649,0.0325475618389206,0.1753385622186729,,0.7149516993463366,primary (s04),0.7943576428781005
gpt-4o-mini,exposure,mean_H_renorm_bits,OLS-CR(seed),2947,slope S,-0.0090624034479292,0.0048859644321417,-0.0192888445333852,0.0011640376375267,0.0792133569869903,,,primary (s04),
gpt-4o-mini,exposure,mean_H_renorm_bits,OLS-CR(seed),2947,slope P,-0.002576778167927,0.0050391414677028,-0.0131238224733954,0.0079702661375413,0.6149954699910923,,,primary (s04),
gpt-4o-mini,exposure,mean_H_renorm_bits,OLS-CR(seed),2947,slope DiD S-P,-0.0064856252800021,0.0068498093554874,-0.0208224410291485,0.0078511904691442,0.3556112990207566,,0.7149516993463366,primary (s04),0.7943576428781005
llama-3.3-70b,exposure,mean_H_renorm_bits,OLS-CR(seed),2977,level S,-0.0282507762596191,0.0117460628547626,-0.0528355683592294,-0.0036659841600089,0.0265206218584596,,,primary (s04),
llama-3.3-70b,exposure,mean_H_renorm_bits,OLS-CR(seed),2977,level P,-0.0144239876573537,0.017315376563693,-0.050665487316301,0.0218175120015936,0.4151848028062478,,,primary (s04),
llama-3.3-70b,exposure,mean_H_renorm_bits,OLS-CR(seed),2977,level DiD S-P,-0.0138267886022654,0.0191429156496363,-0.0538933715284636,0.0262397943239327,0.4789110914129405,,0.7149516993463366,primary (s04),0.7943576428781005
llama-3.3-70b,exposure,mean_H_renorm_bits,OLS-CR(seed),2977,slope S,-0.0144567898101651,0.0019427267697143,-0.0185229636703203,-0.01039061595001,4.826273073277917e-07,,,primary (s04),
llama-3.3-70b,exposure,mean_H_renorm_bits,OLS-CR(seed),2977,slope P,-0.0147978648978889,0.0023184641011359,-0.0196504660308486,-0.0099452637649291,4.023146294628444e-06,,,primary (s04),
llama-3.3-70b,exposure,mean_H_renorm_bits,OLS-CR(seed),2977,slope DiD S-P,0.0003410750877237,0.0030209770528332,-0.0059819025516717,0.0066640527271192,0.911292423776237,,0.9782247790042612,primary (s04),0.9479012474948425
qwen3-235b,exposure,mean_H_renorm_bits,OLS-CR(seed),2228,level S,0.0100129236096561,0.0350305831315668,-0.0633069295246632,0.0833327767439755,0.7780984466359423,,,primary (s04),
qwen3-235b,exposure,mean_H_renorm_bits,OLS-CR(seed),2228,level P,0.0158907181136021,0.0352860832614409,-0.0579639029384482,0.0897453391656524,0.6575620738526777,,,primary (s04),
qwen3-235b,exposure,mean_H_renorm_bits,OLS-CR(seed),2228,level DiD S-P,-0.0058777945039459,0.05571423861013,-0.1224890360879922,0.1107334470801004,0.9170857303164948,,0.9782247790042612,primary (s04),0.9479012474948425
qwen3-235b,exposure,mean_H_renorm_bits,OLS-CR(seed),2228,slope S,-0.0163108274169815,0.0054130363112978,-0.0276404426239137,-0.0049812122100494,0.007148802224474,,,primary (s04),
qwen3-235b,exposure,mean_H_renorm_bits,OLS-CR(seed),2228,slope P,-0.014812045974655,0.0066029070937514,-0.0286320893509001,-0.0009920025984099,0.0369964574306423,,,primary (s04),
qwen3-235b,exposure,mean_H_renorm_bits,OLS-CR(seed),2228,slope DiD S-P,-0.0014987814423265,0.0073657479491975,-0.0169154690787057,0.0139179061940526,0.8409234068391309,,0.961055322101864,primary (s04),0.9387051983320531
pooled (mean of models),exposure,mean_H_renorm_bits,OLS-CR(seed),8152,level DiD S-P,-0.0286813043273291,0.0230866449183904,-0.0770022074771037,0.0196395988224454,0.2292293542598871,,0.7149516993463366,primary (s04),0.7943576428781005
pooled (mean of models),exposure,mean_H_renorm_bits,OLS-CR(seed),8152,slope DiD S-P,-0.0025811450650122,0.0037470665485561,-0.010423845484609,0.0052615553545845,0.4992472997066782,,0.7149516993463366,primary (s04),0.7968006839545337
gpt-4o-mini,rp10,mean_H_renorm_bits,OLS-CR(seed),2845,level S,-0.231989942779605,0.07815120397106,-0.3955622925720038,-0.0684175929872063,0.0078932975878677,,,primary (s04),
gpt-4o-mini,rp10,mean_H_renorm_bits,OLS-CR(seed),2845,level P,-0.0917344184062659,0.0416469149818357,-0.178902413255146,-0.0045664235573858,0.0401642438479463,,,primary (s04),
gpt-4o-mini,rp10,mean_H_renorm_bits,OLS-CR(seed),2845,level B,0.0110157814835874,0.052223953541393,-0.0982902094948501,0.1203217724620251,0.8351849845038074,,,primary (s04),
gpt-4o-mini,rp10,mean_H_renorm_bits,OLS-CR(seed),2845,level DiD S-P,-0.1402555243733391,0.0874845457380018,-0.3233627829919608,0.0428517342452826,0.1253841244287175,,0.7149516993463366,primary (s04),0.7943576428781005
gpt-4o-mini,rp10,mean_H_renorm_bits,OLS-CR(seed),2845,level DiD S-B,-0.2430057242631925,0.0663084558692229,-0.3817909174081478,-0.1042205311182372,0.0016467596665745,,,primary (s04),
