model,spec,metric,estimator,n_obs,term,est,se,ci_low,ci_high,p,converged,p_bh_DiD_SP_OLS
qwen3-235b,main,mean_H_renorm_bits,OLS-CR(seed),2228,slope DiD S-B,-0.011749744519620128,0.007773961575969051,-0.028020833096169276,0.004521344056929021,0.14713478293823373,,
qwen3-235b,main,mean_H_renorm_bits,OLS-CR(seed),2228,slope DiD P-B,-0.007108805509388475,0.008551267976433708,-0.025006815079755686,0.010789204060978736,0.41612073518476717,,
qwen3-235b,main,mean_H_renorm_bits,MixedLM,2228,level S,-0.07206455745751193,0.02756143750870744,-0.12608398233672985,-0.018045132578294,0.00893090187072352,True,
qwen3-235b,main,mean_H_renorm_bits,MixedLM,2228,level P,-0.02878494372225572,0.027684140216324697,-0.08304486148920903,0.025474974044697583,0.2984500391517728,True,
qwen3-235b,main,mean_H_renorm_bits,MixedLM,2228,level B,-0.06705421618069012,0.02518029987467043,-0.1164066970549626,-0.017701735306417637,0.007745584549902936,True,
qwen3-235b,main,mean_H_renorm_bits,MixedLM,2228,level DiD S-P,-0.04327961373525621,0.03811282297685944,-0.11797937411905136,0.03142014664853894,0.2561383792184465,True,
qwen3-235b,main,mean_H_renorm_bits,MixedLM,2228,level DiD S-B,-0.005010341276821817,0.03673052929758519,-0.07700085583318209,0.06698017327953845,0.891498680056341,True,
qwen3-235b,main,mean_H_renorm_bits,MixedLM,2228,level DiD P-B,0.038269272458434395,0.0367688160419593,-0.03379628273798442,0.11033482765485321,0.29796473495887765,True,
qwen3-235b,main,mean_H_renorm_bits,MixedLM,2228,slope S,-0.025212372774233827,0.0058946380947768155,-0.03676565114189419,-0.013659094406573466,1.892837411420982e-05,True,
qwen3-235b,main,mean_H_renorm_bits,MixedLM,2228,slope P,-0.022016491106689687,0.006140869327076584,-0.03405237382152651,-0.009980608391852866,0.0003367682041187895,True,
qwen3-235b,main,mean_H_renorm_bits,MixedLM,2228,slope B,-0.014695318422564847,0.005388935999335784,-0.02525743889625435,-0.0041331979488753445,0.0063924184024389845,True,
qwen3-235b,main,mean_H_renorm_bits,MixedLM,2228,slope DiD S-P,-0.003195881667544139,0.008044105494254734,-0.018962038724124188,0.01257027538903591,0.6911500463189855,True,
qwen3-235b,main,mean_H_renorm_bits,MixedLM,2228,slope DiD S-B,-0.01051705435166898,0.0075411967407804596,-0.025297528363929518,0.004263419660591558,0.16313243904860375,True,
qwen3-235b,main,mean_H_renorm_bits,MixedLM,2228,slope DiD P-B,-0.007321172684124841,0.007702959713852721,-0.022418696297639137,0.007776350929389454,0.34189059643241115,True,
pooled (mean of models),main,mean_H_renorm_bits,OLS-CR(seed),8152,level DiD S-P,-0.043741149813695535,0.0360013996869462,-0.11909294535084168,0.03161064572345061,0.23925546994563712,,0.7149516993463366
pooled (mean of models),main,mean_H_renorm_bits,OLS-CR(seed),8152,level DiD S-B,-0.05085504057155556,0.02430167561622805,-0.10171903219874873,8.95105563761267e-06,0.050036438560564396,,
pooled (mean of models),main,mean_H_renorm_bits,OLS-CR(seed),8152,level DiD P-B,-0.007113890757860017,0.029947286863443005,-0.06979428252731218,0.05556650101159214,0.8147751020506142,,
pooled (mean of models),main,mean_H_renorm_bits,OLS-CR(seed),8152,slope DiD S-P,-0.004419480777190717,0.00561227058874977,-0.016166098119292267,0.007327136564910832,0.4407217552428184,,0.7149516993463366
pooled (mean of models),main,mean_H_renorm_bits,OLS-CR(seed),8152,slope DiD S-B,-0.016427723012547232,0.004528251455237019,-0.02590546223276774,-0.006949983792326723,0.0017913221129977153,,
pooled (mean of models),main,mean_H_renorm_bits,OLS-CR(seed),8152,slope DiD P-B,-0.012008242235356513,0.003444192631591557,-0.019217020261293495,-0.00479946420941953,0.0024697454799916595,,
gpt-4o-mini,exposure,mean_H_renorm_bits,OLS-CR(seed),2947,level S,-0.05963210553281714,0.027061574786609883,-0.11627263251136102,-0.002991578554273261,0.040091314414098675,,
gpt-4o-mini,exposure,mean_H_renorm_bits,OLS-CR(seed),2947,level P,0.007238698691855007,0.04142389423357968,-0.0794625083662929,0.09393990575000291,0.8631271459200569,,
gpt-4o-mini,exposure,mean_H_renorm_bits,OLS-CR(seed),2947,level DiD S-P,-0.06687080422467215,0.047499867884556166,-0.1662891702882649,0.032547561838920616,0.17533856221867294,,0.7149516993463366
gpt-4o-mini,exposure,mean_H_renorm_bits,OLS-CR(seed),2947,slope S,-0.009062403447929225,0.0048859644321417,-0.019288844533385235,0.0011640376375267845,0.07921335698699031,,
gpt-4o-mini,exposure,mean_H_renorm_bits,OLS-CR(seed),2947,slope P,-0.0025767781679270603,0.005039141467702817,-0.013123822473395445,0.007970266137541326,0.6149954699910923,,
gpt-4o-mini,exposure,mean_H_renorm_bits,OLS-CR(seed),2947,slope DiD S-P,-0.006485625280002165,0.006849809355487498,-0.020822441029148573,0.007851190469144242,0.3556112990207566,,0.7149516993463366
llama-3.3-70b,exposure,mean_H_renorm_bits,OLS-CR(seed),2977,level S,-0.028250776259619175,0.011746062854762688,-0.05283556835922941,-0.0036659841600089407,0.026520621858459655,,
llama-3.3-70b,exposure,mean_H_renorm_bits,OLS-CR(seed),2977,level P,-0.014423987657353712,0.017315376563693023,-0.05066548731630109,0.021817512001593667,0.41518480280624787,,
llama-3.3-70b,exposure,mean_H_renorm_bits,OLS-CR(seed),2977,level DiD S-P,-0.013826788602265463,0.019142915649636383,-0.05389337152846367,0.026239794323932742,0.4789110914129405,,0.7149516993463366
llama-3.3-70b,exposure,mean_H_renorm_bits,OLS-CR(seed),2977,slope S,-0.01445678981016517,0.0019427267697143776,-0.018522963670320313,-0.010390615950010028,4.826273073277917e-07,,
llama-3.3-70b,exposure,mean_H_renorm_bits,OLS-CR(seed),2977,slope P,-0.0147978648978889,0.002318464101135983,-0.01965046603084865,-0.00994526376492915,4.023146294628444e-06,,
llama-3.3-70b,exposure,mean_H_renorm_bits,OLS-CR(seed),2977,slope DiD S-P,0.00034107508772372903,0.0030209770528332384,-0.005981902551671759,0.0066640527271192174,0.911292423776237,,0.9782247790042611
qwen3-235b,exposure,mean_H_renorm_bits,OLS-CR(seed),2228,level S,0.010012923609656152,0.03503058313156688,-0.06330692952466327,0.08333277674397557,0.7780984466359423,,
qwen3-235b,exposure,mean_H_renorm_bits,OLS-CR(seed),2228,level P,0.0158907181136021,0.03528608326144097,-0.057963902938448233,0.08974533916565243,0.6575620738526777,,
qwen3-235b,exposure,mean_H_renorm_bits,OLS-CR(seed),2228,level DiD S-P,-0.00587779450394595,0.05571423861013006,-0.12248903608799229,0.1107334470801004,0.9170857303164948,,0.9782247790042611
qwen3-235b,exposure,mean_H_renorm_bits,OLS-CR(seed),2228,slope S,-0.016310827416981588,0.005413036311297893,-0.0276404426239137,-0.004981212210049475,0.007148802224474045,,
qwen3-235b,exposure,mean_H_renorm_bits,OLS-CR(seed),2228,slope P,-0.014812045974655016,0.006602907093751485,-0.02863208935090013,-0.0009920025984099003,0.03699645743064239,,
qwen3-235b,exposure,mean_H_renorm_bits,OLS-CR(seed),2228,slope DiD S-P,-0.0014987814423265723,0.007365747949197589,-0.016915469078705794,0.013917906194052651,0.8409234068391309,,0.961055322101864
pooled (mean of models),exposure,mean_H_renorm_bits,OLS-CR(seed),8152,level DiD S-P,-0.028681304327329148,0.02308664491839046,-0.07700220747710373,0.019639598822445432,0.22922935425988716,,0.7149516993463366
pooled (mean of models),exposure,mean_H_renorm_bits,OLS-CR(seed),8152,slope DiD S-P,-0.0025811450650122707,0.0037470665485561713,-0.010423845484609055,0.005261555354584515,0.49924729970667825,,0.7149516993463366
gpt-4o-mini,rp10,mean_H_renorm_bits,OLS-CR(seed),2845,level S,-0.23198994277960505,0.07815120397106001,-0.3955622925720038,-0.06841759298720632,0.007893297587867705,,
gpt-4o-mini,rp10,mean_H_renorm_bits,OLS-CR(seed),2845,level P,-0.09173441840626594,0.04164691498183579,-0.17890241325514603,-0.004566423557385846,0.04016424384794633,,
gpt-4o-mini,rp10,mean_H_renorm_bits,OLS-CR(seed),2845,level B,0.011015781483587485,0.052223953541393066,-0.09829020949485018,0.12032177246202516,0.8351849845038074,,
gpt-4o-mini,rp10,mean_H_renorm_bits,OLS-CR(seed),2845,level DiD S-P,-0.1402555243733391,0.08748454573800185,-0.32336278299196086,0.04285173424528266,0.12538412442871757,,0.7149516993463366
gpt-4o-mini,rp10,mean_H_renorm_bits,OLS-CR(seed),2845,level DiD S-B,-0.24300572426319253,0.0663084558692229,-0.38179091740814786,-0.1042205311182372,0.0016467596665745697,,
gpt-4o-mini,rp10,mean_H_renorm_bits,OLS-CR(seed),2845,level DiD P-B,-0.10275019988985343,0.0575709114620684,-0.2232475024141736,0.017747102634466744,0.09027680756563586,,
gpt-4o-mini,rp10,mean_H_renorm_bits,OLS-CR(seed),2845,slope S,-0.052322044663040315,0.012854746931097378,-0.07922733920315851,-0.025416750122922115,0.0006526081240249748,,
gpt-4o-mini,rp10,mean_H_renorm_bits,OLS-CR(seed),2845,slope P,-0.04769083735628613,0.0077695771240351005,-0.06395274916947213,-0.03142892554310014,6.705046327692402e-06,,
gpt-4o-mini,rp10,mean_H_renorm_bits,OLS-CR(seed),2845,slope B,-0.024107176610611604,0.006263543705685118,-0.03721692425244831,-0.010997428968774895,0.001082212744482489,,
gpt-4o-mini,rp10,mean_H_renorm_bits,OLS-CR(seed),2845,slope DiD S-P,-0.004631207306754183,0.013714647190076597,-0.033336293773307824,0.024073879159799454,0.7393041017736197,,0.909912740644455
