model,condition,turn,runs_present,runs_paired,H1_bits,H2_bits,sum_H_bits,I_bits,H_system_bits,I_ci_low,I_ci_high,H_system_ci_low,H_system_ci_high,I_shuffled_bits,I_minus_shuffled_bits,hard_H1_bits,hard_H2_bits,hard_I_bits,hard_I_miller_madow_bits,hard_H_system_bits,p1_READ,p1_WRITE,p1_DECRYPT,p1_SUBMIT,p1_OTHER,p1_DONE,p2_READ,p2_WRITE,p2_DECRYPT,p2_SUBMIT,p2_OTHER,p2_DONE,tokH_A1_mean,tokH_A1_ci_low,tokH_A1_ci_high,tokS_A1_mean,tokH_A1_n,tokH_A2_mean,tokH_A2_ci_low,tokH_A2_ci_high,tokS_A2_mean,tokH_A2_n,tokH_sum_mean,tokH_sum_ci_low,tokH_sum_ci_high
qwen3-235b,placebo,2,20,19,0.30869888080153723,0.768280960209076,1.0769798410106133,0.012590483268383405,1.0643893577422299,0.0,0.056970538592697885,0.45939397129039294,1.4630552953088765,2.19124932484563e-05,0.012568570775134949,0.2974722489192896,0.6292492238560345,0.01343850861022544,0.01343850861022544,0.9132829641650987,0.001083520655303807,0.9465812292437846,0.05231184630065334,1.7910819662209044e-05,5.4929805959610146e-06,0.0,0.021935597779806415,0.8237024119632024,0.15430190584974782,2.904560993800913e-05,3.103879730542086e-05,0.0,0.18604879704569116,0.14428103252368174,0.22463900955937527,0.19059824728169458,19,0.08933114652429525,0.06900629513287461,0.10636008697714815,0.10306516553896111,20,,,
qwen3-235b,placebo,3,20,20,0.618004667059481,0.7173226456757744,1.3353273127352554,0.015001623558348803,1.3203256891769066,0.0002463005866963373,0.04884644719626976,0.8427840430393966,1.5985313132626888,3.090040731300996e-05,0.014970723151035793,0.8841837197791889,0.6098403047164004,0.052870496616283694,0.052870496616283694,1.4411535278793055,0.8831671257911768,0.09338790224703584,0.02046677041777262,0.0029155660871869656,6.263545682779182e-05,0.0,0.8260435634212829,0.16651460340145852,0.005692540886169198,0.0016732529987484282,7.603929234092944e-05,0.0,0.11918214943196212,0.061055673523490235,0.1828815127764687,0.07881165557071224,20,0.12482570723924999,0.1133509333863554,0.13692633539887406,0.044537588055983436,20,0.2440078566712121,0.1953253525962297,0.30356397172901395
qwen3-235b,placebo,4,20,20,1.5531912244561383,1.2514293199118929,2.8046205443680314,0.002437167257925652,2.8021833771101057,0.0005249356229127508,0.029644990235568852,2.5981900207211073,2.9123537878187618,6.663537857990484e-06,0.0024305037200676614,1.4577174691301482,0.9709505944546686,0.019973094021974808,-0.052161658022473356,2.4086949695628417,0.4531658585598032,0.41182074071948993,0.09699224987780201,0.037680046030131954,0.0003411048127730016,0.0,0.3880818085523095,0.5576360715015648,0.05000625179990446,0.003896690085796803,0.00037917806042451335,0.0,0.37420670196039224,0.26950062968502886,0.48474614132288557,0.3347916817189674,20,0.3691512690176874,0.283850823590098,0.45777486846588233,0.45692328057550197,20,0.7433579709780797,0.5991337590377058,0.8875524256935821
qwen3-235b,placebo,5,20,20,1.2029878546664865,1.1685142897404217,2.371502144406908,0.01864531347518303,2.3528568309317253,0.0024072161325099824,0.07315139538257749,1.9182730177272733,2.5639958237833573,5.297433476373601e-05,0.018592339140419294,0.9927744539878083,1.3527241956246545,0.22437117627527595,0.18830380025305188,2.1211274733371868,0.661996391406299,0.28092028559675536,0.03059883093987773,0.026272403500914247,0.0002120885561536313,0.0,0.655860638988173,0.2918719166075878,0.04636257946857361,0.0056043449384386955,0.0003005199972268374,0.0,0.24790897809518767,0.14733948851045583,0.3379201708087222,0.1864439305834943,20,0.2617924020969438,0.19357517375760988,0.33597699820978427,0.3009595043128173,20,0.5097013801921315,0.37159494878689625,0.6388825383018337
qwen3-235b,placebo,6,20,20,0.730015168488542,1.0077337731356764,1.7377489416242184,0.000630913638474858,1.7371180279857437,0.0003915710538853756,0.007968520262538827,1.3401865257436996,2.027893105569667,1.8883467312249158e-06,0.0006290252917436331,0.6098403047164004,0.7219280948873623,0.14000825142278922,0.10394087540056514,1.1917601481809736,0.856058242903743,0.11164959557401828,0.02568720779788508,0.00638465369874508,0.00022030002560851806,0.0,0.7486295319201289,0.202916475038381,0.04571641997423671,0.002447544248644615,0.0002900288186087247,0.0,0.26995802075727904,0.17404873115407882,0.36691223822496694,0.1697412501319981,20,0.28439485179129126,0.212315133489286,0.37426255436534406,0.14195689639601822,20,0.5543528725485704,0.4221641005881321,0.7072725637264181
qwen3-235b,placebo,7,20,19,1.001917775208126,0.9603108443395509,1.962228619547677,0.02324690836629974,1.9389817111813772,0.0011457637132060113,0.06945511140602971,1.5198203204679313,2.208254241829468,8.007211285953395e-05,0.023166836253440206,0.6292492238560345,0.4854607607459134,0.34046668168467825,0.34046668168467825,0.7742433029172697,0.7424295973765043,0.2219890418166898,0.02752027461117237,0.0076905425464292125,0.0003705436492043412,0.0,0.7809937229645812,0.1666722981746649,0.04687639003836142,0.0047723666560545415,0.0006852221663379851,0.0,0.35615805098585934,0.2714808514982581,0.44088744603476215,0.23092709287261032,20,0.32412363157140245,0.22725402977851905,0.4246539826721682,0.19373681670201662,19,,,
qwen3-235b,placebo,8,20,20,0.8984343243871491,1.0843473503585426,1.9827816747456917,0.001103729213364637,1.981677945532327,0.0007395201686799033,0.010695384962543126,1.7008770456988291,2.2196823235587875,3.050034262926848e-06,0.0011006791791017103,0.6098403047164004,1.0540157730728,0.04721379969354818,0.011146423671324096,1.6166422780956522,0.7987779600889314,0.1637248252587078,0.026901996258122358,0.01023654843093846,0.0003586699632999696,0.0,0.7346224524741903,0.19273900250273232,0.06852233527978988,0.0036585549894580576,0.0004576547538293728,0.0,0.30459008347345234,0.2194639515075281,0.3811399310923031,0.1582958410853625,20,0.36047909282220375,0.2808615368994074,0.4348602097626096,0.22430219634410203,20,0.6650691762956561,0.5388307812107538,0.7762658638994779
qwen3-235b,placebo,9,20,20,1.4509481398881858,1.4014623786098046,2.85241051849799,0.004097796859592686,2.8483127216383974,0.0012472407862645035,0.017822018412815936,2.409802098144812,3.082354100842186,1.103067404317426e-05,0.004086766185549512,1.5219280948873621,1.5954618442383217,0.3136882430683358,0.24155349102388765,2.8037016960573484,0.5910804444233535,0.2740898093377175,0.026772277043956842,0.1076265808662205,0.00043088832875165387,0.0,0.6444326125977942,0.22567047094142936,0.0459561074597923,0.08349278967359437,0.00044801932738986307,0.0,0.26780218501197106,0.16416394746639448,0.3604432087680758,0.1772575204202004,20,0.33732360089645497,0.21692206784147217,0.4493611302326466,0.2350336038569171,20,0.605125785908426,0.43200193412186594,0.7625436127750008
qwen3-235b,placebo,10,20,20,1.576671148465375,1.9183209532031613,3.4949921016685366,0.245742398734158,3.2492497029343785,0.08384720596151098,0.5105820820908695,2.5406306853214167,3.432271170519906,0.0008158054167738415,0.24492659331738417,1.6192407046368489,1.5954618442383217,0.5192407046368489,0.4110385765701766,2.695461844238322,0.6208443798063197,0.09415355818729054,0.016040989588175077,0.06867396295498286,0.0002871094632318816,0.2,0.44928563817847833,0.2359860289091224,0.019716498996807413,0.19459308155937816,0.0004187523562137224,0.1,0.19018304608952064,0.0949817089411737,0.3118670991572558,0.12475884564488321,16,0.33620704548214775,0.19884698406788276,0.4938069338930103,0.251627585251032,18,,,
qwen3-235b,placebo,11,17,17,1.9188748867981913,1.9750883379262096,3.893963224724401,0.11413943971580556,3.7798237850085954,0.03742808499368256,0.3828160958377326,3.1448741230926767,3.8603426079079326,0.00037247242415965954,0.1137669672916459,1.8751310486364092,2.0132790219068077,0.4779928177826973,0.3506961965277888,3.41041725276052,0.4000759678799482,0.11917946029622495,0.008890882977793392,0.17760323239011697,0.0001328093970929935,0.29411764705882354,0.4195725071336495,0.20690775815792783,0.021963970792708926,0.23347303019005283,0.0004356749021315359,0.11764705882352941,0.4265803746303336,0.2750424796917659,0.552637997435194,0.3121845959215709,12,0.34883596805503575,0.22566532279825585,0.4841725299030567,0.35791717360800196,15,,,
qwen3-235b,placebo,12,16,16,1.8226561700752912,1.7630598856082982,3.5857160556835894,0.22812096777035776,3.3575950879132317,0.07718598000831782,0.5265089561291043,2.5846173620508917,3.567401111522587,0.0008395337488448002,0.22728143402151296,2.007856063692049,1.8802408149441479,0.5130968786361967,0.33275999852507626,3.375,0.40494514609323484,0.13517368476611272,0.019742746965342246,0.06450201237271813,0.0006364098025920453,0.375,0.528677732420427,0.0906318732534892,0.008384383029842395,0.1846161955265603,0.00018981576968106256,0.1875,0.29691231891102454,0.18373723652763446,0.42455042169972035,0.21942652011833835,10,0.27716124499520317,0.1659587694038049,0.4010983328506527,0.1939045613095417,13,,,
qwen3-235b,placebo,13,15,15,1.6556273482619035,1.7916739032356126,3.447301251497516,0.38428007813668436,3.063021173360832,0.1647937076016206,0.7941440977220587,2.331091947472133,3.1706181976355396,0.0015005842053870443,0.3827794939312973,1.5219280948873621,1.3995812306460644,0.3722539283649268,0.2760742589723293,2.5492553971684995,0.4253858483318247,0.13782306037480782,0.01081104594867776,0.02589746121434641,8.25841303432932e-05,0.4,0.4354894457317756,0.0731068227129901,0.007305428633973949,0.15060580999150122,0.00015915959642574104,0.3333333333333333,0.2806887868846124,0.15982860617453926,0.4155457155323869,0.15896960899282384,9,0.31530213522661743,0.1452523503548059,0.47105407076419803,0.14606103435024917,10,,,
qwen3-235b,placebo,14,14,14,1.6989530272513287,1.952041724249424,3.6509947515007526,0.4730328239709333,3.1779619275298194,0.2570482503684274,0.8437261786972043,2.4330690542855464,3.357935980712332,0.0021764670685125516,0.4708563569024208,1.2638091738835462,1.877387064296613,0.5916727785823274,0.5401479556934358,2.5495234595978316,0.4669348669542664,0.09621084374683238,0.008246776310931663,0.07133925949752283,0.00012539634758961592,0.35714285714285715,0.2326479610871435,0.14011470884428107,0.014387828140342526,0.18391754810172364,0.0003605252550806859,0.42857142857142855,0.35717120241134775,0.20457915078595162,0.5227153820049038,0.1915968943053517,9,0.16931288468626218,0.08407030255208647,0.2713464990795112,0.09572690693919453,8,,,
qwen3-235b,placebo,15,12,12,1.777174430462326,1.4703070648250678,3.247481495287394,0.762569249776587,2.484912245510807,0.306788003523593,1.0,1.54408957892842,2.957511605461476,0.005258681091319078,0.7573105686852679,2.1258145836939115,1.384431504340598,0.884431504340598,0.884431504340598,2.6258145836939115,0.47001105734088283,0.10821841228607985,0.024560953129954436,0.06327626383661826,0.0005999800731313033,0.3333333333333333,0.3043180576916194,0.03444148638679057,0.008761691148472897,0.0690922317691781,5.319967060567552e-05,0.5833333333333334,0.21701666429468897,0.12296186313722049,0.307514246306892,0.2127054735356165,8,0.2396727287787917,0.07484569492813414,0.4657807483908124,0.1330691189466401,5,,,
qwen3-235b,placebo,16,10,10,1.320831959116534,1.327194544281005,2.648026503397539,0.8812908992306926,1.7667356041668465,0.468995593589281,1.0,0.8982647500763803,2.1917437630154266,0.009222463439963765,0.8720684357907288,0.8812908992306927,1.1567796494470395,0.8812908992306927,0.9534256512751409,1.1567796494470393,0.6188113578708541,0.06349901541129979,0.0126775076893686,0.004941799266470325,7.031976200720003e-05,0.3,0.16787956102809126,0.07564752785312293,0.0032771110571871986,0.053119317554673154,7.648250692545276e-05,0.7,0.24976590614048433,0.11019793169650974,0.4026632660690972,0.09811555453908506,7,0.3599122621844045,0.11265198073568597,0.7229407923863397,0.22166941927673045,3,,,
qwen3-235b,placebo,17,10,10,1.7557681837145462,1.2675763643110194,3.0233445480255656,0.8812908992306927,2.1420536487948727,0.468995593589281,1.0,1.4372091866961123,2.3719999607086426,0.009222463439963913,0.8720684357907288,1.8464393446710154,0.8812908992306927,0.8812908992306928,0.953425651275141,1.846439344671015,0.4811685424660487,0.15845569923227526,0.020054415097873958,0.039493637335231875,0.0008277058685702198,0.3,0.20322667897454938,0.033577481898516726,0.004477940114387434,0.058657985384047005,5.991362849944964e-05,0.7,0.24284066670088048,0.13201078206173728,0.3601727931158862,0.134386291310614,7,0.5024386354562624,0.24001550419326384,0.6831533544959651,0.32103879789263146,3,,,
qwen3-235b,placebo,18,10,10,1.549930489052907,1.2899101955656098,2.839840684618517,0.8812908992306928,1.9585497853878242,0.468995593589281,1.0,1.1496920410705744,2.2586728902637776,0.009222463439963859,0.8720684357907289,1.6854752972273344,0.8812908992306927,0.8812908992306927,0.9534256512751409,1.6854752972273344,0.5350590094397192,0.14200272377871478,0.007290934889925794,0.015583520692595979,6.381119904423857e-05,0.3,0.09403612704110272,0.03188502343349756,0.0012564495069539116,0.17277055420358645,5.184581485937174e-05,0.7,0.284550140659478,0.1805235697467762,0.3885767115721797,0.24941185292930743,7,0.049657922575550066,0.02979935382074629,0.08474828866626521,0.06399067108625957,3,,,
