model,agent,turn_minus_tau_read,n,tokH_mean,tokH_ci_low,tokH_ci_high
llama-3.3-70b,A1,20,3,0.3475847673710576,0.0001323615010756735,0.725277534787605
llama-3.3-70b,A1,21,2,0.11891479870009775,0.00029650972193612235,0.23753308767825937
llama-3.3-70b,A1,22,1,0.4713937736897201,0.4713937736897201,0.4713937736897201
llama-3.3-70b,A2,-8,16,0.0001006955923598262,8.761076581900547e-05,0.00012080039535438239
llama-3.3-70b,A2,-7,20,0.1331961257075507,0.0928852405371113,0.17354440216308614
llama-3.3-70b,A2,-6,19,0.023393194327741448,0.005533059143696064,0.0470011541763729
llama-3.3-70b,A2,-5,20,0.24068312655774352,0.17307801315336016,0.3064705581197921
llama-3.3-70b,A2,-4,20,0.062209692702138046,0.010410811818393189,0.1233360040260805
llama-3.3-70b,A2,-3,20,0.36578478771795414,0.2501110684196464,0.46561173075550233
llama-3.3-70b,A2,-2,20,0.08190061126850012,0.009891635161131477,0.16776348412368666
llama-3.3-70b,A2,-1,20,0.3360305986604561,0.24676569013751506,0.4227946166762765
llama-3.3-70b,A2,0,20,0.06353468651435351,0.0006739307063130283,0.13622060195249894
llama-3.3-70b,A2,1,19,0.38510771828953977,0.2864393233186166,0.47069302631471527
llama-3.3-70b,A2,2,19,0.05015740666607941,0.0006181773859506955,0.109519691706681
llama-3.3-70b,A2,3,17,0.3611985952518392,0.2750142009491003,0.45540917043679213
llama-3.3-70b,A2,4,19,0.04949694028395115,0.0005864453198158464,0.10922059718759924
llama-3.3-70b,A2,5,19,0.27114280279282876,0.19786067228121434,0.3517053748374513
llama-3.3-70b,A2,6,15,0.15640002091154928,0.07200453180484903,0.24580872886552696
llama-3.3-70b,A2,7,16,0.19109801546412925,0.09763565372506001,0.2910418662599417
llama-3.3-70b,A2,8,14,0.13661521994923254,0.05886163071537766,0.21665286432734623
llama-3.3-70b,A2,9,14,0.09232321245357575,0.029923848134819516,0.15900941087968656
llama-3.3-70b,A2,10,12,0.15200579774757053,0.05295230305957434,0.2547457173281454
llama-3.3-70b,A2,11,11,0.1381351219359481,0.046236166289666994,0.24549644600541287
llama-3.3-70b,A2,12,10,0.08089400631069521,0.012526705102919188,0.17204799834198897
llama-3.3-70b,A2,13,7,0.2784736896723753,0.17493662947305932,0.3800497310243737
llama-3.3-70b,A2,14,5,0.03999335901635614,0.00041702726901217673,0.11905948470238362
llama-3.3-70b,A2,15,4,0.14161457026898672,0.03097159096656284,0.2710585178519558
llama-3.3-70b,A2,16,4,0.025519366587925564,0.0002961093421638217,0.0756808680017581
llama-3.3-70b,A2,17,3,0.07680410910999919,0.00037800365898032475,0.18798121035387408
llama-3.3-70b,A2,18,4,0.08231082313431642,0.00037528586908486077,0.2458412504126681
llama-3.3-70b,A2,19,4,0.15149576532169753,0.10336461399273406,0.22042575303997664
llama-3.3-70b,A2,20,3,0.16960929877685316,0.00032987785315525614,0.5080437483406216
llama-3.3-70b,A2,21,2,0.21266563993220788,0.15247036803740208,0.27286091182701366
llama-3.3-70b,A2,22,1,0.27263331053735235,0.27263331053735235,0.27263331053735235
qwen3-235b,A1,-8,1,0.006450085303003184,0.006450085303003184,0.006450085303003184
qwen3-235b,A1,-7,20,0.013049637549746279,0.006450085303003184,0.026248742043232468
qwen3-235b,A1,-6,20,0.17324178523710418,0.14830189281559295,0.19612774988304219
qwen3-235b,A1,-5,20,0.19088534230195428,0.05976366809502137,0.3978082815711922
qwen3-235b,A1,-4,20,0.4464693446551793,0.3307821536288187,0.5703640761283737
qwen3-235b,A1,-3,19,0.2687282312521426,0.16154769161352933,0.38226280856677414
qwen3-235b,A1,-2,17,0.33477851318298807,0.252989871763008,0.4229862396366527
qwen3-235b,A1,-1,17,0.3123336360975236,0.2179705993113374,0.4175533474000518
qwen3-235b,A1,0,17,0.2934980075379582,0.21456392093665516,0.37782792242040575
qwen3-235b,A1,1,17,0.39828096088848974,0.24468960626553093,0.5448669553250293
qwen3-235b,A1,2,16,0.2769170072799644,0.16833925064510538,0.4065600706743653
qwen3-235b,A1,3,12,0.17996840991165708,0.059761472160717685,0.32823461807679183
qwen3-235b,A1,4,8,0.36092795669808236,0.17621412277161536,0.5464358613291128
qwen3-235b,A1,5,6,0.2781602236988989,0.12031464427745162,0.4408157655482737
qwen3-235b,A1,6,5,0.21962263449491606,0.07809656703974976,0.39573858298129483
qwen3-235b,A1,7,4,0.24074338071199142,0.0438809097374793,0.4203244669513334
qwen3-235b,A1,8,3,0.37476489528129897,0.10596581584766969,0.8235152558584431
qwen3-235b,A1,9,2,0.033774160641886465,0.026052302595340096,0.041496018688432834
qwen3-235b,A1,10,1,0.3202197239513164,0.3202197239513164,0.3202197239513164
qwen3-235b,A1,11,1,0.09463028951824236,0.09463028951824236,0.09463028951824236
qwen3-235b,A2,-8,1,0.10822853648739492,0.10822853648739492,0.10822853648739492
qwen3-235b,A2,-7,20,0.21275156943416376,0.16083753625604869,0.26067562327383315
qwen3-235b,A2,-6,20,0.08746309587724177,0.0669397681388439,0.1090756698334002
qwen3-235b,A2,-5,20,0.1291220901730675,0.09335045052391056,0.1787657492391869
qwen3-235b,A2,-4,20,0.34771812798909585,0.25189415405591015,0.46471387597853214
qwen3-235b,A2,-3,20,0.23668077590786812,0.13828798168025966,0.33064355999683764
qwen3-235b,A2,-2,20,0.2964097046567196,0.20552693137109154,0.3767419276067002
qwen3-235b,A2,-1,20,0.3701172252998098,0.2582909620571382,0.49042266120886335
qwen3-235b,A2,0,20,0.28340079025786136,0.19264237415823732,0.37580994439072396
qwen3-235b,A2,1,20,0.29658474980080607,0.1946589998321517,0.4006918346638177
qwen3-235b,A2,2,20,0.3200491589239914,0.21770296636328504,0.4351286692346887
qwen3-235b,A2,3,19,0.19947028100142827,0.11534632491189767,0.28986311578117285
qwen3-235b,A2,4,14,0.23766646937686772,0.1333435238912642,0.3482845887536366
qwen3-235b,A2,5,12,0.19931770369327567,0.09740517563488155,0.3084341921163754
qwen3-235b,A2,6,10,0.2919298298314439,0.17597844413329236,0.4296291290383794
qwen3-235b,A2,7,8,0.3672922344627504,0.24000694409256573,0.48900682211505797
qwen3-235b,A2,8,8,0.3631624759857875,0.2230445091269143,0.494408987285077
qwen3-235b,A2,9,8,0.34243819920687585,0.2018611799263556,0.49582961392789787
qwen3-235b,A2,10,8,0.21202494751944073,0.13880361717190629,0.32617927173250744
qwen3-235b,A2,11,8,0.23828445547987226,0.15868905504573677,0.3200921280446847
qwen3-235b,A2,12,7,0.2543048552854625,0.16762134017863745,0.3358021719054495
qwen3-235b,A2,13,2,0.3088413496810041,0.2959723641719867,0.3217103351900215
qwen3-235b,A2,14,2,0.1903249031568831,0.1766610321376434,0.2039887741761228
qwen3-235b,A2,15,2,0.2563979173619042,0.2197645548916039,0.29303127983220456
qwen3-235b,A2,16,2,0.2045762765261692,0.19340668195665126,0.21574587109568713
qwen3-235b,A2,17,2,0.22695213907384565,0.2081775556558214,0.24572672249186991
qwen3-235b,A2,18,2,0.2837055722133537,0.22319066929409417,0.34422047513261317
qwen3-235b,A2,19,2,0.28569220665097395,0.247670128502592,0.3237142847993559
qwen3-235b,A2,20,2,0.1832163426695435,0.15055429698524758,0.21587838835383946
qwen3-235b,A2,21,2,0.27210950591228367,0.23431666288160852,0.3099023489429588
qwen3-235b,A2,22,2,0.3239866038707926,0.2556046733304553,0.39236853441112995
