                 spec         model  window    adjust    kind  n_seeds      mean    ci_low   ci_high  n_pos   p_sign  p_wilcoxon  p_wilcoxon_bh_family
adj+log_prompt_tokens   gpt-4o-mini       5       adj prepost       20 -0.055176 -1.367350e-01  0.036576      6 0.115318    0.123093              0.579171      S-P
adj+log_prompt_tokens   gpt-4o-mini       5       adj prepost       20  0.006019 -8.597692e-02  0.102492     11 0.823803    0.985435              1.000000      P-B
adj+log_prompt_tokens llama-3.3-70b       5       adj   level       19 -0.010559 -3.637195e-02  0.014970      6 0.167068    0.441334              0.833708      S-P
adj+log_prompt_tokens llama-3.3-70b       5       adj   level       19  0.040176  8.780530e-03  0.072568     12 0.359283    0.044559              0.356476      P-B
adj+log_prompt_tokens llama-3.3-70b       5       adj prepost       19  0.006018 -2.322550e-02  0.032792     11 0.647606    0.515278              0.833708      S-P
adj+log_prompt_tokens llama-3.3-70b       5       adj prepost       19  0.032486  1.543955e-03  0.064758     12 0.359283    0.104156              0.579171      P-B
adj+log_prompt_tokens    qwen3-235b       5       adj   level       20 -0.029942 -8.337905e-02  0.023531      9 0.823803    0.474905              0.833708      S-P
adj+log_prompt_tokens    qwen3-235b       5       adj   level       20  0.060915  1.735727e-02  0.105874     15 0.041389    0.015312              0.169612      P-B
adj+log_prompt_tokens    qwen3-235b       5       adj prepost       20 -0.038248 -1.012379e-01  0.023754      8 0.503445    0.348810              0.833708      S-P
adj+log_prompt_tokens    qwen3-235b       5       adj prepost       20  0.042560 -2.228764e-02  0.104665     13 0.263176    0.216167              0.691736      P-B
adj+log_prompt_tokens   gpt-4o-mini      10       adj   level       20 -0.013151 -6.758020e-02  0.041468     10 1.000000    0.621513              0.886577      S-P
adj+log_prompt_tokens   gpt-4o-mini      10       adj   level       20  0.007649 -4.659988e-02  0.066750     10 1.000000    0.927279              0.967595      P-B
adj+log_prompt_tokens   gpt-4o-mini      10       adj prepost       20 -0.049259 -1.154266e-01  0.017984      7 0.263176    0.189348              0.640253      S-P
adj+log_prompt_tokens   gpt-4o-mini      10       adj prepost       20  0.007172 -5.805440e-02  0.072983     12 0.503445    0.840822              0.934375      P-B
adj+log_prompt_tokens llama-3.3-70b      10       adj   level       19 -0.022392 -3.643201e-02 -0.007994      4 0.019211    0.014069              0.168823      S-P
adj+log_prompt_tokens llama-3.3-70b      10       adj   level       19  0.035028  1.791958e-02  0.052923     14 0.063568    0.002399              0.068743      P-B
adj+log_prompt_tokens llama-3.3-70b      10       adj prepost       19 -0.005815 -2.222147e-02  0.010483      9 1.000000    0.441334              0.833708      S-P
adj+log_prompt_tokens llama-3.3-70b      10       adj prepost       19  0.027337  1.053191e-02  0.046734     14 0.063568    0.009453              0.151245      P-B
adj+log_prompt_tokens    qwen3-235b      10       adj   level       20 -0.022640 -7.519876e-02  0.028092      8 0.503445    0.430433              0.833708      S-P
adj+log_prompt_tokens    qwen3-235b      10       adj   level       20  0.065279  2.486096e-02  0.105633     16 0.011818    0.005581              0.100456      P-B
adj+log_prompt_tokens    qwen3-235b      10       adj prepost       20 -0.030947 -9.192720e-02  0.031017     10 1.000000    0.329983              0.833708      S-P
adj+log_prompt_tokens    qwen3-235b      10       adj prepost       20  0.046924 -1.221198e-02  0.104091     14 0.115318    0.132727              0.579171      P-B
figures written
