model,condition,seed,threshold_h,alarm_turn,tau_read,delay,pelt_breakpoints
llama-3.3-70b,base,8,6.938555994046214,10.0,,,6|11
llama-3.3-70b,base,9,6.938555994046214,,,,
llama-3.3-70b,base,10,6.938555994046214,,,,
llama-3.3-70b,base,11,6.938555994046214,,,,6|11
llama-3.3-70b,base,12,6.938555994046214,,,,
llama-3.3-70b,base,13,6.938555994046214,,,,6|11
llama-3.3-70b,base,14,6.938555994046214,,,,
llama-3.3-70b,base,15,6.938555994046214,,,,
llama-3.3-70b,base,16,6.938555994046214,,,,11
llama-3.3-70b,base,17,6.938555994046214,,,,
llama-3.3-70b,base,18,6.938555994046214,,,,
llama-3.3-70b,base,19,6.938555994046214,,,,6|11
llama-3.3-70b,base,20,6.938555994046214,,,,
llama-3.3-70b,placebo,1,6.938555994046214,,,,
llama-3.3-70b,placebo,2,6.938555994046214,12.0,,,6|16
llama-3.3-70b,placebo,3,6.938555994046214,,,,
llama-3.3-70b,placebo,4,6.938555994046214,,,,16
llama-3.3-70b,placebo,5,6.938555994046214,,,,
llama-3.3-70b,placebo,6,6.938555994046214,,,,
llama-3.3-70b,placebo,7,6.938555994046214,,,,
llama-3.3-70b,placebo,8,6.938555994046214,,,,6|11
llama-3.3-70b,placebo,9,6.938555994046214,,,,6|11
llama-3.3-70b,placebo,10,6.938555994046214,,,,
llama-3.3-70b,placebo,11,6.938555994046214,,,,
llama-3.3-70b,placebo,12,6.938555994046214,,,,
llama-3.3-70b,placebo,13,6.938555994046214,,,,6|11
llama-3.3-70b,placebo,14,6.938555994046214,,,,
llama-3.3-70b,placebo,15,6.938555994046214,,,,
llama-3.3-70b,placebo,16,6.938555994046214,,,,
llama-3.3-70b,placebo,17,6.938555994046214,,,,
llama-3.3-70b,placebo,18,6.938555994046214,,,,6
llama-3.3-70b,placebo,19,6.938555994046214,,,,
llama-3.3-70b,placebo,20,6.938555994046214,,,,6|11
llama-3.3-70b,switch,1,6.938555994046214,,9.0,,
llama-3.3-70b,switch,2,6.938555994046214,,9.0,,6|11
llama-3.3-70b,switch,3,6.938555994046214,,8.0,,
llama-3.3-70b,switch,4,6.938555994046214,,9.0,,11
llama-3.3-70b,switch,5,6.938555994046214,,9.0,,6|11
llama-3.3-70b,switch,6,6.938555994046214,,9.0,,6
llama-3.3-70b,switch,7,6.938555994046214,,9.0,,11
llama-3.3-70b,switch,8,6.938555994046214,,9.0,,6|11
llama-3.3-70b,switch,9,6.938555994046214,,8.0,,
llama-3.3-70b,switch,10,6.938555994046214,,9.0,,
llama-3.3-70b,switch,11,6.938555994046214,,9.0,,
llama-3.3-70b,switch,12,6.938555994046214,,9.0,,
llama-3.3-70b,switch,13,6.938555994046214,,9.0,,
llama-3.3-70b,switch,14,6.938555994046214,,9.0,,11
llama-3.3-70b,switch,15,6.938555994046214,,9.0,,11
llama-3.3-70b,switch,16,6.938555994046214,,8.0,,
llama-3.3-70b,switch,17,6.938555994046214,,8.0,,
llama-3.3-70b,switch,18,6.938555994046214,,8.0,,
llama-3.3-70b,switch,19,6.938555994046214,,10.0,,
llama-3.3-70b,switch,20,6.938555994046214,,9.0,,6|11
qwen3-235b,base,1,1.6518297034956746,8.0,,,
qwen3-235b,base,2,1.6518297034956746,,,,
qwen3-235b,base,3,1.6518297034956746,,,,6
qwen3-235b,base,4,1.6518297034956746,,,,
qwen3-235b,base,5,1.6518297034956746,,,,
qwen3-235b,base,6,1.6518297034956746,,,,
qwen3-235b,base,7,1.6518297034956746,,,,
qwen3-235b,base,8,1.6518297034956746,,,,
qwen3-235b,base,9,1.6518297034956746,,,,6
qwen3-235b,base,10,1.6518297034956746,,,,6
qwen3-235b,base,11,1.6518297034956746,,,,
qwen3-235b,base,12,1.6518297034956746,,,,6
qwen3-235b,base,13,1.6518297034956746,,,,
qwen3-235b,base,14,1.6518297034956746,,,,
qwen3-235b,base,15,1.6518297034956746,,,,
qwen3-235b,base,16,1.6518297034956746,,,,
qwen3-235b,base,17,1.6518297034956746,,,,
qwen3-235b,base,18,1.6518297034956746,,,,
qwen3-235b,base,19,1.6518297034956746,,,,
qwen3-235b,base,20,1.6518297034956746,,,,
qwen3-235b,placebo,1,1.6518297034956746,9.0,,,6|11
qwen3-235b,placebo,2,1.6518297034956746,9.0,,,6
qwen3-235b,placebo,3,1.6518297034956746,9.0,,,6
qwen3-235b,placebo,4,1.6518297034956746,9.0,,,6
qwen3-235b,placebo,5,1.6518297034956746,9.0,,,6
qwen3-235b,placebo,6,1.6518297034956746,9.0,,,6
qwen3-235b,placebo,7,1.6518297034956746,9.0,,,6|11
qwen3-235b,placebo,8,1.6518297034956746,9.0,,,6
qwen3-235b,placebo,9,1.6518297034956746,9.0,,,6
qwen3-235b,placebo,10,1.6518297034956746,9.0,,,6|11
qwen3-235b,placebo,11,1.6518297034956746,9.0,,,6
qwen3-235b,placebo,12,1.6518297034956746,9.0,,,6|11
qwen3-235b,placebo,13,1.6518297034956746,9.0,,,6|11
qwen3-235b,placebo,14,1.6518297034956746,9.0,,,6
qwen3-235b,placebo,15,1.6518297034956746,9.0,,,6|11
qwen3-235b,placebo,16,1.6518297034956746,9.0,,,6
qwen3-235b,placebo,17,1.6518297034956746,9.0,,,6
qwen3-235b,placebo,18,1.6518297034956746,13.0,,,6|16
qwen3-235b,placebo,19,1.6518297034956746,,,,
qwen3-235b,placebo,20,1.6518297034956746,8.0,,,
qwen3-235b,switch,1,1.6518297034956746,9.0,8.0,1.0,6
qwen3-235b,switch,2,1.6518297034956746,9.0,8.0,1.0,6
qwen3-235b,switch,3,1.6518297034956746,9.0,8.0,1.0,6
qwen3-235b,switch,4,1.6518297034956746,9.0,8.0,1.0,6
qwen3-235b,switch,5,1.6518297034956746,9.0,8.0,1.0,6
qwen3-235b,switch,6,1.6518297034956746,9.0,8.0,1.0,6
qwen3-235b,switch,7,1.6518297034956746,9.0,8.0,1.0,6
qwen3-235b,switch,8,1.6518297034956746,9.0,8.0,1.0,6
qwen3-235b,switch,9,1.6518297034956746,9.0,8.0,1.0,6
qwen3-235b,switch,10,1.6518297034956746,9.0,8.0,1.0,6
qwen3-235b,switch,11,1.6518297034956746,9.0,8.0,1.0,6
qwen3-235b,switch,12,1.6518297034956746,9.0,8.0,1.0,6
qwen3-235b,switch,13,1.6518297034956746,10.0,8.0,2.0,6
qwen3-235b,switch,14,1.6518297034956746,9.0,8.0,1.0,6
qwen3-235b,switch,15,1.6518297034956746,10.0,8.0,2.0,6
qwen3-235b,switch,16,1.6518297034956746,9.0,8.0,1.0,6
qwen3-235b,switch,17,1.6518297034956746,10.0,8.0,2.0,6
qwen3-235b,switch,18,1.6518297034956746,10.0,8.0,2.0,6
qwen3-235b,switch,19,1.6518297034956746,9.0,8.0,1.0,6
qwen3-235b,switch,20,1.6518297034956746,9.0,8.0,1.0,6
