model,condition,rel_turn,mean,ci_low,ci_high,n
llama-3.3-70b,switch,6,0.17606202439923013,0.1605437767434067,0.19117277553759948,19
llama-3.3-70b,switch,7,0.1804900473129101,0.13399290702626504,0.2346205041797803,19
llama-3.3-70b,switch,8,0.16548095119654196,0.13359802430474257,0.1970742328863847,19
llama-3.3-70b,switch,9,0.13341655221567514,0.09518238055817238,0.16814450980122542,19
llama-3.3-70b,switch,10,0.1569772045611692,0.11229772134097755,0.20089770017027808,19
llama-3.3-70b,placebo,-7,0.09052710235821626,0.058811469333323645,0.1219886355945366,19
llama-3.3-70b,placebo,-6,0.13947870858616676,0.1148912149284889,0.16230918114194448,19
llama-3.3-70b,placebo,-5,0.18611495790754298,0.16283881167991993,0.2118638309555592,19
llama-3.3-70b,placebo,-4,0.19487526215454656,0.16329546513115203,0.24047283529947586,19
llama-3.3-70b,placebo,-3,0.24343289628841555,0.19520000812129287,0.2928838199808019,19
llama-3.3-70b,placebo,-2,0.21669701849728,0.1850840224546314,0.258303058408735,19
llama-3.3-70b,placebo,-1,0.25812239106526197,0.19968686613679823,0.32528278497535307,19
llama-3.3-70b,placebo,0,0.19043632426906734,0.17352900154268913,0.21039687428002737,19
llama-3.3-70b,placebo,1,0.2469028852656279,0.18603070520307546,0.308128885638625,19
llama-3.3-70b,placebo,2,0.16391437916892795,0.15018454007496101,0.1756845700989162,19
llama-3.3-70b,placebo,3,0.2347216596574104,0.19644617777300494,0.27662149490823623,19
llama-3.3-70b,placebo,4,0.17171400553703728,0.1494320737703552,0.19219880594316072,19
llama-3.3-70b,placebo,5,0.21632998659866773,0.1774534989228032,0.25439543950068594,19
llama-3.3-70b,placebo,6,0.20561833527045195,0.18143449509568374,0.2338320321926541,19
llama-3.3-70b,placebo,7,0.22746916576772672,0.18399367213108378,0.27093312248990353,19
llama-3.3-70b,placebo,8,0.19933283028875504,0.17037292325470432,0.24479464853407193,19
llama-3.3-70b,placebo,9,0.21825457256810338,0.18669031586139717,0.2539446236142168,19
llama-3.3-70b,placebo,10,0.15048995364893636,0.12182810708564723,0.17434923778664677,19
qwen3-235b,switch,-7,0.24734752508395164,0.2216655457155865,0.2709548752764273,20
qwen3-235b,switch,-6,0.18730603510873758,0.16163593117718172,0.21245093837971188,20
qwen3-235b,switch,-5,0.0930997443031951,0.05713556907615031,0.13839387359448369,20
qwen3-235b,switch,-4,0.3858853846381804,0.3229804365069882,0.4486757140443237,20
qwen3-235b,switch,-3,0.2424743337086371,0.15699909848852903,0.3300066469728198,20
qwen3-235b,switch,-2,0.2940269777648938,0.23669549607206727,0.3566560151291074,20
qwen3-235b,switch,-1,0.32496850006199585,0.26854091300219135,0.387150479041239,20
qwen3-235b,switch,0,0.24804144316943524,0.18241612105654587,0.3149560382855835,20
qwen3-235b,switch,1,0.34553126912302734,0.2783489424216686,0.41861685631883816,20
qwen3-235b,switch,2,0.32416739590146526,0.251207151280059,0.40187292129684304,20
qwen3-235b,switch,3,0.24866574932978178,0.1884613894022701,0.31242418277276063,20
qwen3-235b,switch,4,0.2640731282922252,0.19444446775499452,0.3387705429339834,16
qwen3-235b,switch,5,0.268176734954567,0.18049566784102358,0.36181927038287,14
qwen3-235b,switch,6,0.3031268207332627,0.2186155764196444,0.396206563233283,12
qwen3-235b,switch,7,0.32968845527970825,0.22496319511003265,0.4417201097756003,10
qwen3-235b,switch,8,0.3439737455154357,0.23968453892529468,0.4660026521798437,10
qwen3-235b,switch,9,0.3122461209934639,0.1853654878003462,0.4447569369264252,9
qwen3-235b,switch,10,0.2341126248742967,0.1552403763584652,0.34047147448694837,8
qwen3-235b,placebo,-7,0.25242201393692104,0.2234614819653394,0.28113129019577277,20
qwen3-235b,placebo,-6,0.20380864754891434,0.18184199367560747,0.22838970341346282,20
qwen3-235b,placebo,-5,0.12017343241805449,0.07813824542117509,0.16781463214436526,20
qwen3-235b,placebo,-4,0.3704079200121063,0.3078781044519465,0.4346840032448014,20
qwen3-235b,placebo,-3,0.23579118277488798,0.17213396020209587,0.30156784973781636,20
qwen3-235b,placebo,-2,0.27627366815732124,0.20253602830410605,0.35202139250349496,20
qwen3-235b,placebo,-1,0.30997881834221286,0.2519177019919766,0.3691378051518011,20
qwen3-235b,placebo,0,0.2964799043508865,0.231031730439307,0.3649713836770973,20
qwen3-235b,placebo,1,0.34473474143406285,0.27827987939758236,0.41064271299806293,20
qwen3-235b,placebo,2,0.3064481840640131,0.22410751835396592,0.38987123227453657,20
qwen3-235b,placebo,3,0.357198843582351,0.2679475974776169,0.44799662700950665,17
qwen3-235b,placebo,4,0.33541281820567465,0.271648331917437,0.4020489483013094,16
qwen3-235b,placebo,5,0.30234033159597196,0.20153371322970323,0.40058573867973374,15
qwen3-235b,placebo,6,0.3252890951977749,0.24828057105263518,0.41892117860032463,14
qwen3-235b,placebo,7,0.2630478605119691,0.18036275828797904,0.3502754572989042,12
qwen3-235b,placebo,8,0.27660853716979766,0.15003440891186082,0.42175473390878904,10
qwen3-235b,placebo,9,0.3326398317215783,0.22043781130505508,0.4526910382644438,10
qwen3-235b,placebo,10,0.2169595365655545,0.15363959327569018,0.28718785222422855,10
