model,condition,turn,variant,n_pairs,H1,H2,sum_H,I,H_system,I_null_mean,I_null_95,I_excess,p_perm
llama-3.3-70b,switch,12,all_states,18,0.13792613112580254,0.3924582072119061,0.5303843383377087,0.0016232433848495497,0.5287610949528592,0.00512882701498096,0.05593918497215613,-0.00350558363013141,0.8121878121878122
llama-3.3-70b,switch,12,active_only,17,0.14450935086972008,0.08779211794755629,0.23230146881727637,0.00018864620282873305,0.23211282261444763,0.00047294660673416,0.001457992942704981,-0.0002843004039054269,0.7952047952047953
llama-3.3-70b,switch,13,all_states,19,0.04273277612626034,0.3051524862196454,0.3478852623459058,0.00035574929984240035,0.3475295130460634,0.0011364179381117396,0.015200283700879589,-0.0007806686382693393,0.6093906093906094
llama-3.3-70b,switch,13,active_only,18,0.044735636270632116,0.008106917150375675,0.05284255342100779,4.330176079920196e-06,0.05283822324492787,1.1869724307976965e-05,0.0001308367801190225,-7.539548228056769e-06,0.7912087912087912
llama-3.3-70b,switch,14,all_states,20,0.012296855294505764,0.3179032072340912,0.33020006252859696,0.0008420437185428415,0.3293580188100541,0.00016178108126931368,0.0008410427526660704,0.0006802626372735278,0.03896103896103896
llama-3.3-70b,switch,14,active_only,19,0.00846349556606434,0.03316447380856319,0.041627969374627524,2.048826712795516e-06,0.04162592054791473,3.868351730760343e-06,1.349626875482378e-05,-1.8195250179648266e-06,0.7382617382617382
llama-3.3-70b,switch,15,all_states,15,0.3637655287900658,0.36271171699607035,0.7264772457861361,0.009935853900351833,0.7165413918857844,0.02721670785714501,0.3533604159422386,-0.017280853956793178,0.13186813186813187
llama-3.3-70b,switch,15,active_only,13,0.01189855846700489,0.0003144058349346743,0.012212964301939563,5.208009250526769e-07,0.012212443501014511,7.41362205319865e-08,5.208009250526769e-07,4.466647045206904e-07,0.0899100899100899
llama-3.3-70b,switch,16,all_states,19,0.5258459525039666,0.6358974005708633,1.1617433530748298,0.02322855458597283,1.138514798488857,0.05506192931526407,0.15878802100710623,-0.031833374729291236,0.8421578421578422
llama-3.3-70b,switch,16,active_only,15,0.2769617899122914,0.008359532058772804,0.28532132197106425,2.766516097041829e-05,0.28529365681009383,0.00011617614526533697,0.0009605428237960049,-8.851098429491869e-05,0.997002997002997
llama-3.3-70b,switch,17,all_states,16,0.6594103410208996,0.8963050715001025,1.555715412521002,0.08251792164491395,1.473197490876088,0.07109213846588633,0.24510234540229048,0.011425783179027621,0.40559440559440557
llama-3.3-70b,switch,17,active_only,9,0.18641680422409232,0.00046645919738484064,0.18688326342147715,1.205665551953614e-06,0.1868820577559252,2.1901458639725057e-06,1.0647770437477265e-05,-9.844803120188916e-07,0.24675324675324675
llama-3.3-70b,switch,18,all_states,18,0.6515943844544382,0.8527010548705604,1.5042954393249985,0.08722566290079162,1.4170697764242068,0.04791637895945952,0.09783134331976885,0.039309283941332096,0.3726273726273726
llama-3.3-70b,switch,18,active_only,10,0.0027209969751921985,0.0005205514324056697,0.003241548407597868,6.089279768047483e-08,0.0032414875148001876,1.4715543833710721e-08,6.089279768047483e-08,4.617725384676411e-08,0.08091908091908091
llama-3.3-70b,switch,19,all_states,18,0.6594238664983929,0.9643189094513895,1.6237427759497824,0.13414164055675873,1.4896011353930236,0.05461997899225412,0.13431336825638104,0.0795216615645046,0.2127872127872128
llama-3.3-70b,switch,19,active_only,8,0.019542969662941185,0.0005143281677292128,0.0200572978306704,1.4210447890177436e-07,0.020057155726191496,1.633346467725703e-07,7.144708788190277e-07,-2.1230167870795936e-08,0.22977022977022976
llama-3.3-70b,switch,20,all_states,17,0.7970988984923882,0.9367199969068861,1.7338188953992744,0.1759767363625005,1.557842159036774,0.05415339085797953,0.17600803792911343,0.12182334550452097,0.08891108891108891
llama-3.3-70b,switch,20,active_only,7,0.022406252506649463,0.00012346199053186237,0.022529714497181327,2.0054388241043303e-08,0.022529694442793086,3.4628015948905844e-08,1.3165194122269567e-07,-1.4573627707862541e-08,0.2627372627372627
llama-3.3-70b,switch,21,all_states,14,0.7806081981890283,0.8919748551402907,1.6725830533293191,0.09514405076896316,1.577439002560356,0.09650217792353037,0.31426922484484854,-0.001358127154567207,0.48451548451548454
llama-3.3-70b,switch,21,active_only,8,0.29891997757861766,0.04876305889847499,0.34768303647709264,0.00017442931667609676,0.34750860716041654,0.0008769607127451755,0.004339464942663587,-0.0007025313960690787,1.0
llama-3.3-70b,switch,22,all_states,9,0.5032583347756457,0.991076060749169,1.4943343955248147,0.1426902794711401,1.3516441160536745,0.11980602316100272,0.14269027951186547,0.02288425631013738,0.4355644355644356
llama-3.3-70b,switch,23,all_states,10,0.47497591637760905,0.971480589591736,1.446456505969345,0.07520641668864882,1.3712500892806962,0.10276087539181694,0.14524787716821175,-0.027554458703168125,1.0
llama-3.3-70b,switch,24,all_states,8,0.3800946790511833,1.0,1.3800946790511834,0.0007648719457959399,1.3793298071053874,0.032977976074477604,0.07666911436567907,-0.03221310412868166,0.9120879120879121
llama-3.3-70b,switch,25,all_states,7,-0.0,0.9852281380186824,0.9852281380186824,0.0,0.9852281380186824,0.0,0.0,0.0,1.0
llama-3.3-70b,switch,26,all_states,7,0.10457489635114302,0.9852281380427538,1.0898030343938967,0.011897081452193196,1.0779059529417034,0.009801529373599984,0.01397037715223508,0.0020955520785932123,0.2217782217782218
llama-3.3-70b,switch,27,all_states,6,-0.0,0.9182958366959196,0.9182958366959196,0.0,0.9182958366959196,0.0,0.0,0.0,1.0
llama-3.3-70b,placebo,1,all_states,18,3.081121923861478e-08,-0.0,3.081121923861478e-08,0.0,3.081121923861478e-08,0.0,0.0,0.0,1.0
llama-3.3-70b,placebo,1,active_only,18,3.081121923861478e-08,-0.0,3.081121923861478e-08,0.0,3.081121923861478e-08,0.0,0.0,0.0,1.0
llama-3.3-70b,placebo,2,all_states,17,0.6464302001229736,1.042179067968604e-08,0.6464302105447642,8.129207187229958e-14,0.646430210544683,1.7870236812632343e-13,6.677144373933033e-13,-9.741029625402385e-14,1.0
llama-3.3-70b,placebo,2,active_only,17,0.6464302001229736,1.042179067968604e-08,0.6464302105447642,8.129207187229958e-14,0.646430210544683,2.005566414431029e-13,6.766782929059965e-13,-1.192645695708033e-13,1.0
llama-3.3-70b,placebo,3,all_states,18,0.1925513901663497,0.31167277574985686,0.5042241659162066,0.0024816923935820725,0.5017424735226245,0.0098897903076457,0.13717438174019347,-0.0074080979140636275,1.0
llama-3.3-70b,placebo,3,active_only,18,0.1925513901663497,0.31167277574985686,0.5042241659162066,0.0024816923935820725,0.5017424735226245,0.010428561065032146,0.13717438174019347,-0.007946868671450074,1.0
llama-3.3-70b,placebo,4,all_states,18,0.4884802454778498,0.38908529652429125,0.8775655420021411,0.00013425703426481143,0.8774312849678763,0.0012569607804436753,0.004527366201720305,-0.0011227037461788638,0.7492507492507493
llama-3.3-70b,placebo,4,active_only,18,0.4884802454778498,0.38908529652429125,0.8775655420021411,0.00013425703426481143,0.8774312849678763,0.0012883973416509466,0.004800925138383985,-0.001154140307386135,0.7782217782217782
llama-3.3-70b,placebo,5,all_states,19,0.06612061815250299,0.005663302814009204,0.07178392096651219,5.12384228411911e-06,0.07177879712422808,1.6041943140014144e-05,0.00020052207868626179,-1.0918100855895033e-05,0.954045954045954
llama-3.3-70b,placebo,5,active_only,19,0.06612061815250299,0.005663302814009204,0.07178392096651219,5.12384228411911e-06,0.07177879712422808,1.3693481636267238e-05,5.12384228411911e-06,-8.569639352148127e-06,0.9470529470529471
llama-3.3-70b,placebo,6,all_states,18,0.4580815164829765,0.31157443761129433,0.7696559540942709,0.0017258937997844798,0.7679300602944864,0.001531443311647107,0.005166671943031769,0.00019445048813737285,0.3046953046953047
llama-3.3-70b,placebo,6,active_only,18,0.4580815164829765,0.31157443761129433,0.7696559540942709,0.0017258937997844798,0.7679300602944864,0.0014628737343442809,0.0049427757267558,0.0002630200654401989,0.3076923076923077
llama-3.3-70b,placebo,7,all_states,18,-0.0,0.0634171057038193,0.0634171057038193,0.0,0.0634171057038193,0.0,0.0,0.0,1.0
llama-3.3-70b,placebo,7,active_only,18,-0.0,0.0634171057038193,0.0634171057038193,0.0,0.0634171057038193,0.0,0.0,0.0,1.0
llama-3.3-70b,placebo,8,all_states,17,0.12263515628683522,0.16128731703364282,0.28392247332047804,0.00018900981074600705,0.28373346350973205,0.0003359620162067201,0.000982951661648624,-0.00014695220546071303,0.6393606393606394
llama-3.3-70b,placebo,8,active_only,17,0.12263515628683522,0.16128731703364282,0.28392247332047804,0.00018900981074600705,0.28373346350973205,0.00032236275829336834,0.0007548561762913343,-0.0001333529475473613,0.6313686313686314
llama-3.3-70b,placebo,9,all_states,18,0.42769781644308386,0.023186059327147363,0.4508838757702312,0.00024925803431593164,0.4506346177359153,0.0006421578569998001,0.0012950068364972534,-0.00039289982268386845,0.5784215784215784
llama-3.3-70b,placebo,9,active_only,18,0.42769781644308386,0.023186059327147363,0.4508838757702312,0.00024925803431593164,0.4506346177359153,0.0007499613107010665,0.008507997935265079,-0.0005007032763851349,0.5634365634365635
llama-3.3-70b,placebo,10,all_states,18,0.2673382392018674,0.10169099110829986,0.36902923031016727,0.0003472410842429763,0.36868198922592427,0.0009665518092086223,0.00824851692631964,-0.000619310724965646,0.7352647352647352
llama-3.3-70b,placebo,10,active_only,18,0.2673382392018674,0.10169099110829986,0.36902923031016727,0.0003472410842429763,0.36868198922592427,0.0009204716043925585,0.0033201090921875787,-0.0005732305201495822,0.7552447552447552
llama-3.3-70b,placebo,11,all_states,17,0.015210528708002784,0.004364250913799152,0.019574779621801937,5.910834356265814e-07,0.01957418853836631,1.3245757610939663e-06,2.70541517984251e-06,-7.334923254673849e-07,0.7082917082917083
llama-3.3-70b,placebo,11,active_only,17,0.015210528708002784,0.004364250913799152,0.019574779621801937,5.910834356265814e-07,0.01957418853836631,1.3965586855608917e-06,1.2456312982004174e-05,-8.054752499343103e-07,0.6683316683316683
llama-3.3-70b,placebo,12,all_states,16,0.2554693746968252,0.02947908168828014,0.2849484563851053,0.00011402938359389404,0.2848344270015114,0.00015360235030042736,0.0006078547083245385,-3.9572966706533325e-05,0.43956043956043955
llama-3.3-70b,placebo,12,active_only,16,0.2554693746968252,0.02947908168828014,0.2849484563851053,0.00011402938359389404,0.2848344270015114,0.0001556434913059331,0.0006045311790176903,-4.161410771203906e-05,0.46353646353646355
llama-3.3-70b,placebo,13,all_states,17,0.002861495284190731,0.0218961085359315,0.024757603820122234,6.267488750776161e-07,0.024756977071247157,2.1707420590326574e-06,1.9641128124438407e-05,-1.5439931839550414e-06,0.8931068931068931
llama-3.3-70b,placebo,13,active_only,17,0.002861495284190731,0.0218961085359315,0.024757603820122234,6.267488750776161e-07,0.024756977071247157,1.7126683109230547e-06,1.9641128124438407e-05,-1.0859194358454388e-06,0.8821178821178821
