model,condition,seed,H_pre,H_post,H_delta,H_adj_pre,H_adj_post,H_adj_delta,H_decision_pre,H_decision_post,H_decision_delta,H_write_delta
gpt-4o-mini,base,15,0.16290244433634876,0.2709693834024376,0.10806693906608883,0.1571956657067388,0.27458007184765365,0.11738440614091486,0.18086399370753847,0.35467936384492876,0.1738153701373903,-0.016152161082406302
gpt-4o-mini,base,16,0.28981509349307627,0.2555630865261409,-0.03425200696693537,0.2606698375366017,0.2513197258156285,-0.00935011172097322,0.5185970970714869,0.3656790354977532,-0.15291806157373372,0.13879084567644281
gpt-4o-mini,base,17,0.1909335595759534,0.29589886215920624,0.10496530258325285,0.19495922284603287,0.2912272930915149,0.09626807024548203,0.31883054470967803,0.3784177530115356,0.05958720830185754,0.02043789545492619
gpt-4o-mini,base,18,0.14679370075758588,0.2805194198616686,0.13372571910408274,0.14035621754574046,0.27979026076316416,0.1394340432174237,0.16722853348453554,0.507173461687698,0.3399449282031624,-0.004956981190684023
gpt-4o-mini,base,19,0.2463099368783801,0.3445338434822715,0.09822390660389141,0.2601719812142765,0.35717707007540755,0.09700508886113107,0.09417970899799936,0.3470360966045094,0.25285638760651,0.054217999197289674
gpt-4o-mini,base,20,0.24713882022914277,0.21937520505950098,-0.027763615169641792,0.24075395966450097,0.22240716560422225,-0.018346794060278726,0.4651535872446352,0.32872928488413855,-0.13642430236049663,-0.05886503634504511
gpt-4o-mini,placebo,1,0.31826489829334476,0.2502776036050837,-0.06798729468826104,0.3203116894085382,0.2436475392034743,-0.07666415020506392,0.33277637910516195,0.43380253834894383,0.10102615924378189,-0.11419492895233185
gpt-4o-mini,placebo,2,0.22195473075644653,0.31480109718341115,0.09284636642696462,0.23671423652404672,0.30611524429076514,0.06940100776671843,0.29992060291159695,0.3359498612738973,0.036029258362300365,0.07805044518782056
gpt-4o-mini,placebo,3,0.21697575763675378,0.22208019514950642,0.005104437512752635,0.20014783904740893,0.2355811778205,0.03543333877309107,0.20486889291881713,0.45268260729955145,0.24781371438073432,-0.006241749179677236
gpt-4o-mini,placebo,4,0.25294056599704057,0.2514997091888295,-0.001440856808211044,0.25738968823225766,0.24499437424378293,-0.012395313988474738,0.24197799547330145,0.3960419091188124,0.15406391364551092,-0.18369458438570122
gpt-4o-mini,placebo,5,0.20655186959825214,0.22978600181070713,0.02323413221245499,0.19834859826715795,0.2290051074223748,0.030656509155216838,0.288223530470958,0.562813392614469,0.27458986214351105,-0.07347655714726006
gpt-4o-mini,placebo,6,0.21534083698778533,0.2646467941043013,0.049305957116515975,0.23198896888424472,0.2601228519025909,0.028133883018346156,0.3934951166954952,0.46894769526669183,0.07545257857119664,-0.001579862648154906
gpt-4o-mini,placebo,7,0.16131676408524834,0.23131631095547986,0.06999954687023152,0.14344392085537,0.24449243753362826,0.10104851667825826,0.34723650394279637,0.34964138942818235,0.002404885485385977,0.11257208564353548
