model,condition,rel_turn,mean,ci_low,ci_high,n
llama-3.3-70b,switch,9,0.14150873759469917,0.11735990935018512,0.1680931912256564,20
llama-3.3-70b,switch,10,0.16317265998851269,0.1406003125025615,0.18945930425658403,20
llama-3.3-70b,placebo,-7,0.09724440159638995,0.07456450386346333,0.1202174782106586,20
llama-3.3-70b,placebo,-6,0.1524018455117121,0.15042481035909663,0.1538979899979479,20
llama-3.3-70b,placebo,-5,0.1883188653530508,0.1528851368882829,0.22690276548165264,20
llama-3.3-70b,placebo,-4,0.15339288533321802,0.15278876211718537,0.15391845689615072,20
llama-3.3-70b,placebo,-3,0.26576391370114044,0.21854416899253837,0.3233429268141837,20
llama-3.3-70b,placebo,-2,0.15352741991971247,0.15268264525106015,0.15397258636158045,20
llama-3.3-70b,placebo,-1,0.2937649514478304,0.2432133175570776,0.34289651047248837,20
llama-3.3-70b,placebo,0,0.1586621840975937,0.15198197089844112,0.17041579012022848,20
llama-3.3-70b,placebo,1,0.23663551929349375,0.19323253937653015,0.28309080612966053,20
llama-3.3-70b,placebo,2,0.16005712587519774,0.15243844346349011,0.1739696677413885,20
llama-3.3-70b,placebo,3,0.16962733782537381,0.14188790121566133,0.19784143706063148,20
llama-3.3-70b,placebo,4,0.1574512795955209,0.1496586249472742,0.16717533511660848,20
llama-3.3-70b,placebo,5,0.2170256365973578,0.17944402948089133,0.25673074868757545,20
llama-3.3-70b,placebo,6,0.1478287580709034,0.1309907281711908,0.160541089585996,20
llama-3.3-70b,placebo,7,0.13370992688038802,0.10220870731249584,0.16259637247165412,20
llama-3.3-70b,placebo,8,0.15401065652485757,0.14439001633807877,0.16180193406646173,20
llama-3.3-70b,placebo,9,0.10017033972631413,0.06862824374275604,0.13114156453550102,20
llama-3.3-70b,placebo,10,0.14506462907086104,0.12518020782839304,0.16066945546455233,20
qwen3-235b,switch,-7,0.36384125650699245,0.3470872585029943,0.3809459052536609,20
qwen3-235b,switch,-6,0.3055687556481698,0.2972044897913872,0.31361299970541107,20
qwen3-235b,switch,-5,0.13412609161123495,0.12457778487011062,0.1481974313825885,20
qwen3-235b,switch,-4,0.4293742981595717,0.39360821692965947,0.468536360800254,20
qwen3-235b,switch,-3,0.20266222940377468,0.14493113039018826,0.26344445068135597,20
qwen3-235b,switch,-2,0.3767723200069484,0.3309375948313025,0.4236481481176274,20
qwen3-235b,switch,-1,0.35243864605345554,0.29798474427373894,0.4073942675376006,20
qwen3-235b,switch,0,0.3672314392714908,0.3121391163631147,0.42740257278531085,20
qwen3-235b,switch,1,0.4664220194292855,0.4227607150792629,0.512335771868722,20
qwen3-235b,switch,2,0.44928971178504734,0.37059264871028536,0.5261782611641077,20
qwen3-235b,switch,3,0.45928681923185144,0.3869869087305513,0.5359776715588532,20
qwen3-235b,switch,4,0.41481531842448055,0.33458305004157984,0.48569589743203706,17
qwen3-235b,switch,5,0.43777900240903916,0.3681559538184262,0.5092099245615211,17
qwen3-235b,switch,6,0.44346145306188867,0.3686165498171985,0.5218315859311548,16
qwen3-235b,switch,7,0.398208022970636,0.3420089988416822,0.4528378406850008,15
qwen3-235b,switch,8,0.4583559603000301,0.39184024780852234,0.5220779431516723,13
qwen3-235b,switch,9,0.4041289451727676,0.28303826799181675,0.5222858628501327,12
qwen3-235b,switch,10,0.43339460741489927,0.3226936431486223,0.5326660166872089,12
qwen3-235b,placebo,-7,0.3702386224541926,0.36742835542717417,0.37179958698052473,20
qwen3-235b,placebo,-6,0.307344076724609,0.2964810486726448,0.31869820566788404,20
qwen3-235b,placebo,-5,0.13226144086332456,0.12278507855190227,0.1469368173157979,20
qwen3-235b,placebo,-4,0.4374810024301774,0.39216017742622855,0.4921233686372503,20
qwen3-235b,placebo,-3,0.20676115777374227,0.1544557424636326,0.2765115440370637,20
qwen3-235b,placebo,-2,0.39262784269355,0.3550591740931088,0.42896695684405345,20
qwen3-235b,placebo,-1,0.43606317381781723,0.3911914830832477,0.479857312118905,20
qwen3-235b,placebo,0,0.38210907637628944,0.32270163311303407,0.44468084054121154,20
qwen3-235b,placebo,1,0.5525783510107233,0.48747961312743066,0.6141594704651782,20
qwen3-235b,placebo,2,0.45564127366217405,0.39411321762215157,0.5191163413919355,20
qwen3-235b,placebo,3,0.419709880405566,0.34316951864407386,0.496207678096224,19
qwen3-235b,placebo,4,0.43846387329055236,0.3719384768611358,0.5085270457484937,18
qwen3-235b,placebo,5,0.47360958857024993,0.4150075002058243,0.5401634874607699,17
qwen3-235b,placebo,6,0.5034256909887306,0.4088106258514563,0.597679577565595,14
qwen3-235b,placebo,7,0.5213519778753785,0.43397647449410215,0.6107101702663557,12
qwen3-235b,placebo,8,0.48121436561675995,0.38639804825818447,0.5745382068445715,11
qwen3-235b,placebo,9,0.42252128817900475,0.34001479331701606,0.4968474977387545,11
qwen3-235b,placebo,10,0.4115724741452086,0.3010064405556243,0.5143416115700249,10
